cell	prediction	probability	sample
HG02059102PE20301	1	0.8948	HG02059102
HG02059102PE20302	1	0.8107	HG02059102
HG02059102PE20303	1	0.9268	HG02059102
HG02059102PE20304	1	0.8709	HG02059102
HG02059102PE20305	0	0.1729	HG02059102
HG02059102PE20306	1	0.9167	HG02059102
HG02059102PE20307	1	0.8888	HG02059102
HG02059102PE20308	1	0.877	HG02059102
HG02059102PE20309	1	0.8972	HG02059102
HG02059102PE20310	1	0.8885	HG02059102
HG02059102PE20311	1	0.6448	HG02059102
HG02059102PE20312	0	0.3206	HG02059102
HG02059102PE20313	1	0.8179	HG02059102
HG02059102PE20314	1	0.9143	HG02059102
HG02059102PE20315	1	0.8476	HG02059102
HG02059102PE20316	1	0.9109	HG02059102
HG02059102PE20317	0	0.0687	HG02059102
HG02059102PE20318	1	0.8635	HG02059102
HG02059102PE20319	1	0.9434	HG02059102
HG02059102PE20320	1	0.921	HG02059102
HG02059102PE20321	1	0.8681	HG02059102
HG02059102PE20322	1	0.8748	HG02059102
HG02059102PE20323	0	0.0	HG02059102
HG02059102PE20324	1	0.831	HG02059102
HG02059102PE20325	1	0.9055	HG02059102
HG02059102PE20326	1	0.862	HG02059102
HG02059102PE20327	1	0.8508	HG02059102
HG02059102PE20328	1	0.9187	HG02059102
HG02059102PE20329	1	0.922	HG02059102
HG02059102PE20330	1	0.8845	HG02059102
HG02059102PE20331	1	0.8746	HG02059102
HG02059102PE20332	1	0.8371	HG02059102
HG02059102PE20333	1	0.9076	HG02059102
HG02059102PE20334	0	0.0349	HG02059102
HG02059102PE20335	1	0.7646	HG02059102
HG02059102PE20336	1	0.9036	HG02059102
HG02059102PE20337	1	0.9062	HG02059102
HG02059102PE20338	1	0.9076	HG02059102
HG02059102PE20339	0	0.0129	HG02059102
HG02059102PE20340	1	0.9565	HG02059102
HG02059102PE20341	1	0.9058	HG02059102
HG02059102PE20342	1	0.8867	HG02059102
HG02059102PE20343	1	0.9038	HG02059102
HG02059102PE20344	1	0.8917	HG02059102
HG02059102PE20345	1	0.8524	HG02059102
HG02059102PE20346	1	0.9177	HG02059102
HG02059102PE20347	1	0.9154	HG02059102
HG02059102PE20348	1	0.9526	HG02059102
HG02059102PE20349	1	0.8875	HG02059102
HG02059102PE20350	1	0.874	HG02059102
HG02059102PE20351	1	0.9205	HG02059102
HG02059102PE20352	1	0.9279	HG02059102
HG02059102PE20353	1	0.9591	HG02059102
HG02059102PE20354	1	0.5824	HG02059102
HG02059102PE20355	1	0.5228	HG02059102
HG02059102PE20356	1	0.9374	HG02059102
HG02059102PE20357	1	0.9426	HG02059102
HG02059102PE20358	1	0.9274	HG02059102
HG02059102PE20359	1	0.9126	HG02059102
HG02059102PE20360	1	0.7732	HG02059102
HG02059102PE20361	1	0.8928	HG02059102
HG02059102PE20362	0	0.0	HG02059102
HG02059102PE20363	1	0.9282	HG02059102
HG02059102PE20364	0	0.0777	HG02059102
HG02059102PE20365	1	0.9278	HG02059102
HG02059102PE20366	1	0.9233	HG02059102
HG02059102PE20367	1	0.8852	HG02059102
HG02059102PE20368	1	0.9184	HG02059102
HG02059102PE20369	1	0.9407	HG02059102
HG02059102PE20370	0	0.0	HG02059102
HG02059102PE20371	1	0.8671	HG02059102
HG02059102PE20372	1	0.887	HG02059102
HG02059102PE20373	0	0.269	HG02059102
HG02059102PE20374	1	0.9333	HG02059102
HG02059102PE20375	1	0.9261	HG02059102
HG02059102PE20376	1	0.9297	HG02059102
HG02059102PE20377	1	0.8611	HG02059102
HG02059102PE20378	0	0.0	HG02059102
HG02059102PE20379	1	0.9026	HG02059102
HG02059102PE20380	0	0.2048	HG02059102
HG02059102PE20381	1	0.8642	HG02059102
HG02059102PE20382	1	0.9091	HG02059102
HG02059102PE20383	1	0.8973	HG02059102
HG02059102PE20384	1	0.9763	HG02059102
HG02059102PE20385	1	0.9058	HG02059102
HG02059102PE20386	0	0.0	HG02059102
HG02059102PE20387	0	0.0068	HG02059102
HG02059102PE20388	1	0.8212	HG02059102
HG02059102PE20389	0	0.0662	HG02059102
HG02059102PE20390	0	0.1285	HG02059102
HG02059102PE20391	0	0.2397	HG02059102
HG02059102PE20392	1	0.9314	HG02059102
HG02059102PE20393	1	0.8833	HG02059102
HG02059102PE20394	1	0.9139	HG02059102
HG02059102PE20395	0	0.2911	HG02059102
HG02059102PE20396	1	0.6749	HG02059102
