cell	prediction	probability	sample
HG01352x02PE20401	0	0.0019	HG01352x02
HG01352x02PE20402	1	0.7729	HG01352x02
HG01352x02PE20403	1	0.7115	HG01352x02
HG01352x02PE20404	1	0.8891	HG01352x02
HG01352x02PE20405	0	0.0267	HG01352x02
HG01352x02PE20406	1	0.8447	HG01352x02
HG01352x02PE20407	1	0.7788	HG01352x02
HG01352x02PE20408	1	0.5574	HG01352x02
HG01352x02PE20409	0	0.0	HG01352x02
HG01352x02PE20410	1	0.8468	HG01352x02
HG01352x02PE20411	1	0.8002	HG01352x02
HG01352x02PE20412	0	0.0202	HG01352x02
HG01352x02PE20413	1	0.6842	HG01352x02
HG01352x02PE20414	0	0.4113	HG01352x02
HG01352x02PE20415	1	0.7245	HG01352x02
HG01352x02PE20416	1	0.8361	HG01352x02
HG01352x02PE20417	1	0.8349	HG01352x02
HG01352x02PE20418	1	0.8794	HG01352x02
HG01352x02PE20419	0	0.256	HG01352x02
HG01352x02PE20420	1	0.9015	HG01352x02
HG01352x02PE20421	1	0.7337	HG01352x02
HG01352x02PE20422	1	0.9059	HG01352x02
HG01352x02PE20423	1	0.8841	HG01352x02
HG01352x02PE20424	1	0.9252	HG01352x02
HG01352x02PE20425	0	0.274	HG01352x02
HG01352x02PE20426	1	0.8576	HG01352x02
HG01352x02PE20427	1	0.9551	HG01352x02
HG01352x02PE20428	0	0.0008	HG01352x02
HG01352x02PE20429	1	0.5109	HG01352x02
HG01352x02PE20430	1	0.7101	HG01352x02
HG01352x02PE20431	0	0.0554	HG01352x02
HG01352x02PE20432	1	0.7961	HG01352x02
HG01352x02PE20433	1	0.5229	HG01352x02
HG01352x02PE20434	0	0.0	HG01352x02
HG01352x02PE20435	1	0.8946	HG01352x02
HG01352x02PE20436	0	0.3067	HG01352x02
HG01352x02PE20437	0	0.0052	HG01352x02
HG01352x02PE20438	0	0.0	HG01352x02
HG01352x02PE20439	1	0.9333	HG01352x02
HG01352x02PE20440	1	0.6213	HG01352x02
HG01352x02PE20441	1	0.9173	HG01352x02
HG01352x02PE20442	1	0.9156	HG01352x02
HG01352x02PE20443	1	0.7901	HG01352x02
HG01352x02PE20444	0	0.0154	HG01352x02
HG01352x02PE20445	0	0.0095	HG01352x02
HG01352x02PE20446	1	0.657	HG01352x02
HG01352x02PE20447	1	0.9057	HG01352x02
HG01352x02PE20448	1	0.9104	HG01352x02
HG01352x02PE20449	1	0.8662	HG01352x02
HG01352x02PE20450	1	0.873	HG01352x02
HG01352x02PE20451	0	0.3416	HG01352x02
HG01352x02PE20452	1	0.5368	HG01352x02
HG01352x02PE20453	0	0.0	HG01352x02
HG01352x02PE20454	0	0.006	HG01352x02
HG01352x02PE20455	1	0.5946	HG01352x02
HG01352x02PE20456	1	0.9066	HG01352x02
HG01352x02PE20457	0	0.02	HG01352x02
HG01352x02PE20458	0	0.1538	HG01352x02
HG01352x02PE20459	0	0.0343	HG01352x02
HG01352x02PE20460	1	0.9324	HG01352x02
HG01352x02PE20461	0	0.0133	HG01352x02
HG01352x02PE20462	1	0.8786	HG01352x02
HG01352x02PE20463	1	0.6055	HG01352x02
HG01352x02PE20464	0	0.0001	HG01352x02
HG01352x02PE20465	1	0.9055	HG01352x02
HG01352x02PE20466	1	0.8664	HG01352x02
HG01352x02PE20467	0	0.0044	HG01352x02
HG01352x02PE20468	1	0.8576	HG01352x02
HG01352x02PE20469	1	0.6644	HG01352x02
HG01352x02PE20470	0	0.1114	HG01352x02
HG01352x02PE20471	1	0.9272	HG01352x02
HG01352x02PE20472	1	0.8379	HG01352x02
HG01352x02PE20473	1	0.9418	HG01352x02
HG01352x02PE20474	1	0.6586	HG01352x02
HG01352x02PE20475	1	0.9038	HG01352x02
HG01352x02PE20476	1	0.7076	HG01352x02
HG01352x02PE20477	0	0.0001	HG01352x02
HG01352x02PE20478	0	0.3791	HG01352x02
HG01352x02PE20479	1	0.857	HG01352x02
HG01352x02PE20480	1	0.6981	HG01352x02
HG01352x02PE20481	0	0.0	HG01352x02
HG01352x02PE20482	0	0.4549	HG01352x02
HG01352x02PE20483	0	0.0082	HG01352x02
HG01352x02PE20484	0	0.0204	HG01352x02
HG01352x02PE20485	1	0.5072	HG01352x02
HG01352x02PE20486	1	0.8809	HG01352x02
HG01352x02PE20487	1	0.9456	HG01352x02
HG01352x02PE20488	1	0.7921	HG01352x02
HG01352x02PE20489	0	0.432	HG01352x02
HG01352x02PE20490	1	0.8309	HG01352x02
HG01352x02PE20491	0	0.1943	HG01352x02
HG01352x02PE20492	1	0.8925	HG01352x02
HG01352x02PE20493	0	0.0	HG01352x02
HG01352x02PE20494	1	0.9418	HG01352x02
HG01352x02PE20495	1	0.8828	HG01352x02
HG01352x02PE20496	1	0.8827	HG01352x02
