cell	prediction	probability	sample
GM19434x02PE20501	0	0.0	GM19434x02
GM19434x02PE20502	1	0.8248	GM19434x02
GM19434x02PE20503	0	0.4218	GM19434x02
GM19434x02PE20504	1	0.8223	GM19434x02
GM19434x02PE20505	0	0.0	GM19434x02
GM19434x02PE20506	0	0.1998	GM19434x02
GM19434x02PE20507	0	0.0002	GM19434x02
GM19434x02PE20508	0	0.0	GM19434x02
GM19434x02PE20509	1	0.8646	GM19434x02
GM19434x02PE20510	0	0.0606	GM19434x02
GM19434x02PE20511	1	0.6285	GM19434x02
GM19434x02PE20512	0	0.0001	GM19434x02
GM19434x02PE20513	1	0.8878	GM19434x02
GM19434x02PE20514	1	0.5863	GM19434x02
GM19434x02PE20515	1	0.5201	GM19434x02
GM19434x02PE20516	0	0.0	GM19434x02
GM19434x02PE20517	0	0.1186	GM19434x02
GM19434x02PE20518	1	0.8424	GM19434x02
GM19434x02PE20519	1	0.7502	GM19434x02
GM19434x02PE20520	1	0.8424	GM19434x02
GM19434x02PE20521	1	0.921	GM19434x02
GM19434x02PE20522	1	0.8506	GM19434x02
GM19434x02PE20523	0	0.0249	GM19434x02
GM19434x02PE20524	0	0.0775	GM19434x02
GM19434x02PE20525	0	0.0001	GM19434x02
GM19434x02PE20526	0	0.4116	GM19434x02
GM19434x02PE20527	1	0.8231	GM19434x02
GM19434x02PE20528	1	0.8704	GM19434x02
GM19434x02PE20529	1	0.8997	GM19434x02
GM19434x02PE20530	1	0.8758	GM19434x02
GM19434x02PE20531	1	0.9207	GM19434x02
GM19434x02PE20532	0	0.0297	GM19434x02
GM19434x02PE20533	0	0.0001	GM19434x02
GM19434x02PE20534	0	0.1104	GM19434x02
GM19434x02PE20535	0	0.0028	GM19434x02
GM19434x02PE20536	1	0.8898	GM19434x02
GM19434x02PE20537	1	0.8369	GM19434x02
GM19434x02PE20538	1	0.9096	GM19434x02
GM19434x02PE20539	0	0.053	GM19434x02
GM19434x02PE20540	0	0.263	GM19434x02
GM19434x02PE20541	0	0.0	GM19434x02
GM19434x02PE20542	1	0.8481	GM19434x02
GM19434x02PE20543	1	0.9319	GM19434x02
GM19434x02PE20544	1	0.8701	GM19434x02
GM19434x02PE20545	1	0.8671	GM19434x02
GM19434x02PE20546	0	0.0039	GM19434x02
GM19434x02PE20547	1	0.8047	GM19434x02
GM19434x02PE20548	0	0.0455	GM19434x02
GM19434x02PE20549	1	0.5676	GM19434x02
GM19434x02PE20550	1	0.7009	GM19434x02
GM19434x02PE20551	1	0.5564	GM19434x02
GM19434x02PE20552	1	0.8576	GM19434x02
GM19434x02PE20553	1	0.8167	GM19434x02
GM19434x02PE20554	0	0.0	GM19434x02
GM19434x02PE20555	1	0.9325	GM19434x02
GM19434x02PE20556	0	0.0355	GM19434x02
GM19434x02PE20557	1	0.8717	GM19434x02
GM19434x02PE20558	1	0.8071	GM19434x02
GM19434x02PE20559	1	0.8609	GM19434x02
GM19434x02PE20560	1	0.912	GM19434x02
GM19434x02PE20561	0	0.4837	GM19434x02
GM19434x02PE20562	1	0.8665	GM19434x02
GM19434x02PE20563	0	0.0032	GM19434x02
GM19434x02PE20564	0	0.0378	GM19434x02
GM19434x02PE20565	1	0.8886	GM19434x02
GM19434x02PE20566	1	0.8986	GM19434x02
GM19434x02PE20567	1	0.7822	GM19434x02
GM19434x02PE20568	1	0.8497	GM19434x02
GM19434x02PE20569	1	0.8682	GM19434x02
GM19434x02PE20570	0	0.2007	GM19434x02
GM19434x02PE20571	0	0.0111	GM19434x02
GM19434x02PE20572	0	0.0178	GM19434x02
GM19434x02PE20573	1	0.8164	GM19434x02
GM19434x02PE20574	1	0.9146	GM19434x02
GM19434x02PE20575	1	0.8424	GM19434x02
GM19434x02PE20576	0	0.3176	GM19434x02
GM19434x02PE20577	1	0.8808	GM19434x02
GM19434x02PE20578	1	0.8707	GM19434x02
GM19434x02PE20579	0	0.0619	GM19434x02
GM19434x02PE20580	0	0.0366	GM19434x02
GM19434x02PE20581	1	0.8487	GM19434x02
GM19434x02PE20582	0	0.188	GM19434x02
GM19434x02PE20583	0	0.0778	GM19434x02
GM19434x02PE20584	1	0.5065	GM19434x02
GM19434x02PE20585	1	0.8552	GM19434x02
GM19434x02PE20586	1	0.843	GM19434x02
GM19434x02PE20587	0	0.0603	GM19434x02
GM19434x02PE20588	0	0.0424	GM19434x02
GM19434x02PE20589	1	0.5163	GM19434x02
GM19434x02PE20590	1	0.8954	GM19434x02
GM19434x02PE20591	1	0.8943	GM19434x02
GM19434x02PE20592	1	0.8419	GM19434x02
GM19434x02PE20593	1	0.9463	GM19434x02
GM19434x02PE20594	0	0.0727	GM19434x02
GM19434x02PE20595	0	0.039	GM19434x02
GM19434x02PE20596	0	0.3877	GM19434x02
