cell	prediction	probability	sample
HG04217x02PE20301	0	0.1277	HG04217x02
HG04217x02PE20302	1	0.9375	HG04217x02
HG04217x02PE20303	1	0.8775	HG04217x02
HG04217x02PE20304	1	0.7778	HG04217x02
HG04217x02PE20305	0	0.0199	HG04217x02
HG04217x02PE20306	0	0.0	HG04217x02
HG04217x02PE20307	1	0.8767	HG04217x02
HG04217x02PE20308	0	0.0143	HG04217x02
HG04217x02PE20309	0	0.0422	HG04217x02
HG04217x02PE20310	1	0.9159	HG04217x02
HG04217x02PE20311	1	0.9137	HG04217x02
HG04217x02PE20312	1	0.9207	HG04217x02
HG04217x02PE20313	0	0.0083	HG04217x02
HG04217x02PE20314	1	0.9283	HG04217x02
HG04217x02PE20315	0	0.0	HG04217x02
HG04217x02PE20316	0	0.1722	HG04217x02
HG04217x02PE20317	1	0.9228	HG04217x02
HG04217x02PE20318	0	0.002	HG04217x02
HG04217x02PE20319	0	0.0868	HG04217x02
HG04217x02PE20320	1	0.8804	HG04217x02
HG04217x02PE20321	0	0.4872	HG04217x02
HG04217x02PE20322	1	0.8816	HG04217x02
HG04217x02PE20323	0	0.0	HG04217x02
HG04217x02PE20324	1	0.8875	HG04217x02
HG04217x02PE20325	1	0.8378	HG04217x02
HG04217x02PE20326	0	0.0	HG04217x02
HG04217x02PE20327	0	0.0045	HG04217x02
HG04217x02PE20328	1	0.8926	HG04217x02
HG04217x02PE20329	1	0.6084	HG04217x02
HG04217x02PE20330	0	0.3451	HG04217x02
HG04217x02PE20331	1	0.904	HG04217x02
HG04217x02PE20332	1	0.8948	HG04217x02
HG04217x02PE20333	0	0.0453	HG04217x02
HG04217x02PE20334	0	0.0035	HG04217x02
HG04217x02PE20335	1	0.9514	HG04217x02
HG04217x02PE20336	1	0.9167	HG04217x02
HG04217x02PE20337	1	0.8942	HG04217x02
HG04217x02PE20338	1	0.7416	HG04217x02
HG04217x02PE20339	0	0.3499	HG04217x02
HG04217x02PE20340	1	0.8627	HG04217x02
HG04217x02PE20341	0	0.1757	HG04217x02
HG04217x02PE20342	1	0.7938	HG04217x02
HG04217x02PE20343	0	0.0	HG04217x02
HG04217x02PE20344	0	0.4257	HG04217x02
HG04217x02PE20345	1	0.8959	HG04217x02
HG04217x02PE20346	1	0.8529	HG04217x02
HG04217x02PE20347	0	0.0	HG04217x02
HG04217x02PE20348	0	0.0	HG04217x02
HG04217x02PE20349	0	0.3281	HG04217x02
HG04217x02PE20350	0	0.0593	HG04217x02
HG04217x02PE20351	1	0.9511	HG04217x02
HG04217x02PE20352	1	0.8828	HG04217x02
HG04217x02PE20353	1	0.8507	HG04217x02
HG04217x02PE20354	1	0.8308	HG04217x02
HG04217x02PE20355	0	0.016	HG04217x02
HG04217x02PE20356	1	0.8085	HG04217x02
HG04217x02PE20357	1	0.8373	HG04217x02
HG04217x02PE20358	1	0.9162	HG04217x02
HG04217x02PE20359	0	0.0	HG04217x02
HG04217x02PE20360	1	0.9063	HG04217x02
HG04217x02PE20361	0	0.0	HG04217x02
HG04217x02PE20362	1	0.8925	HG04217x02
HG04217x02PE20363	1	0.8674	HG04217x02
HG04217x02PE20364	0	0.1366	HG04217x02
HG04217x02PE20365	1	0.6571	HG04217x02
HG04217x02PE20366	0	0.1868	HG04217x02
HG04217x02PE20367	1	0.9044	HG04217x02
HG04217x02PE20368	1	0.9134	HG04217x02
HG04217x02PE20369	1	0.9054	HG04217x02
HG04217x02PE20370	0	0.0	HG04217x02
HG04217x02PE20371	1	0.9132	HG04217x02
HG04217x02PE20372	0	0.2399	HG04217x02
HG04217x02PE20373	0	0.0	HG04217x02
HG04217x02PE20374	1	0.7736	HG04217x02
HG04217x02PE20375	0	0.1215	HG04217x02
HG04217x02PE20376	1	0.6027	HG04217x02
HG04217x02PE20377	0	0.0	HG04217x02
HG04217x02PE20378	1	0.8672	HG04217x02
HG04217x02PE20379	1	0.8853	HG04217x02
HG04217x02PE20380	1	0.7651	HG04217x02
HG04217x02PE20381	0	0.0907	HG04217x02
HG04217x02PE20382	0	0.0075	HG04217x02
HG04217x02PE20383	0	0.0015	HG04217x02
HG04217x02PE20384	0	0.006	HG04217x02
HG04217x02PE20385	0	0.0096	HG04217x02
HG04217x02PE20386	0	0.0	HG04217x02
HG04217x02PE20387	0	0.1518	HG04217x02
HG04217x02PE20388	1	0.5304	HG04217x02
HG04217x02PE20389	1	0.8322	HG04217x02
HG04217x02PE20390	1	0.9208	HG04217x02
HG04217x02PE20391	0	0.0	HG04217x02
HG04217x02PE20392	0	0.0	HG04217x02
HG04217x02PE20393	1	0.9215	HG04217x02
HG04217x02PE20394	1	0.9219	HG04217x02
HG04217x02PE20395	1	0.9268	HG04217x02
HG04217x02PE20396	0	0.0	HG04217x02
