cell	prediction	probability	sample
HG01114x02PE20301	1	0.8828	HG01114x02
HG01114x02PE20302	1	0.8184	HG01114x02
HG01114x02PE20303	0	0.1143	HG01114x02
HG01114x02PE20304	0	0.2747	HG01114x02
HG01114x02PE20305	1	0.8555	HG01114x02
HG01114x02PE20306	0	0.4785	HG01114x02
HG01114x02PE20307	0	0.0	HG01114x02
HG01114x02PE20308	1	0.8819	HG01114x02
HG01114x02PE20309	0	0.359	HG01114x02
HG01114x02PE20310	1	0.882	HG01114x02
HG01114x02PE20311	0	0.0	HG01114x02
HG01114x02PE20312	0	0.0209	HG01114x02
HG01114x02PE20313	1	0.9097	HG01114x02
HG01114x02PE20314	1	0.8632	HG01114x02
HG01114x02PE20315	0	0.0	HG01114x02
HG01114x02PE20316	1	0.6568	HG01114x02
HG01114x02PE20317	1	0.7291	HG01114x02
HG01114x02PE20318	1	0.8198	HG01114x02
HG01114x02PE20319	1	0.924	HG01114x02
HG01114x02PE20320	1	0.8701	HG01114x02
HG01114x02PE20321	1	0.8614	HG01114x02
HG01114x02PE20322	1	0.8017	HG01114x02
HG01114x02PE20323	0	0.0	HG01114x02
HG01114x02PE20324	1	0.6533	HG01114x02
HG01114x02PE20325	0	0.0246	HG01114x02
HG01114x02PE20326	0	0.0	HG01114x02
HG01114x02PE20327	0	0.0	HG01114x02
HG01114x02PE20328	0	0.0692	HG01114x02
HG01114x02PE20329	1	0.714	HG01114x02
HG01114x02PE20330	1	0.7409	HG01114x02
HG01114x02PE20331	0	0.0	HG01114x02
HG01114x02PE20332	0	0.0124	HG01114x02
HG01114x02PE20333	1	0.8301	HG01114x02
HG01114x02PE20334	1	0.8079	HG01114x02
HG01114x02PE20335	1	0.9032	HG01114x02
HG01114x02PE20336	0	0.1152	HG01114x02
HG01114x02PE20337	1	0.7946	HG01114x02
HG01114x02PE20338	1	0.9065	HG01114x02
HG01114x02PE20339	0	0.0	HG01114x02
HG01114x02PE20340	1	0.8288	HG01114x02
HG01114x02PE20341	0	0.3294	HG01114x02
HG01114x02PE20342	0	0.0208	HG01114x02
HG01114x02PE20343	1	0.873	HG01114x02
HG01114x02PE20344	1	0.8605	HG01114x02
HG01114x02PE20345	1	0.9463	HG01114x02
HG01114x02PE20346	1	0.9223	HG01114x02
HG01114x02PE20347	0	0.0	HG01114x02
HG01114x02PE20348	1	0.8705	HG01114x02
HG01114x02PE20349	1	0.8673	HG01114x02
HG01114x02PE20350	0	0.1209	HG01114x02
HG01114x02PE20351	0	0.1447	HG01114x02
HG01114x02PE20352	0	0.0428	HG01114x02
HG01114x02PE20353	1	0.9143	HG01114x02
HG01114x02PE20354	1	0.9063	HG01114x02
HG01114x02PE20355	1	0.8368	HG01114x02
HG01114x02PE20356	1	0.9338	HG01114x02
HG01114x02PE20357	1	0.8795	HG01114x02
HG01114x02PE20358	1	0.84	HG01114x02
HG01114x02PE20359	1	0.858	HG01114x02
HG01114x02PE20360	0	0.0566	HG01114x02
HG01114x02PE20361	1	0.8937	HG01114x02
HG01114x02PE20362	0	0.0493	HG01114x02
HG01114x02PE20363	1	0.9139	HG01114x02
HG01114x02PE20364	1	0.8229	HG01114x02
HG01114x02PE20365	1	0.8901	HG01114x02
HG01114x02PE20366	1	0.8377	HG01114x02
HG01114x02PE20367	0	0.4749	HG01114x02
HG01114x02PE20368	0	0.0248	HG01114x02
HG01114x02PE20369	1	0.9274	HG01114x02
HG01114x02PE20370	0	0.0	HG01114x02
HG01114x02PE20371	0	0.0	HG01114x02
HG01114x02PE20372	1	0.879	HG01114x02
HG01114x02PE20373	0	0.0342	HG01114x02
HG01114x02PE20374	0	0.1125	HG01114x02
HG01114x02PE20375	0	0.0299	HG01114x02
HG01114x02PE20376	1	0.6813	HG01114x02
HG01114x02PE20377	0	0.0883	HG01114x02
HG01114x02PE20378	1	0.8792	HG01114x02
HG01114x02PE20379	1	0.66	HG01114x02
HG01114x02PE20380	0	0.2443	HG01114x02
HG01114x02PE20381	0	0.3398	HG01114x02
HG01114x02PE20382	1	0.8646	HG01114x02
HG01114x02PE20383	0	0.0188	HG01114x02
HG01114x02PE20384	0	0.246	HG01114x02
HG01114x02PE20385	0	0.0	HG01114x02
HG01114x02PE20386	1	0.883	HG01114x02
HG01114x02PE20387	0	0.0	HG01114x02
HG01114x02PE20388	1	0.8088	HG01114x02
HG01114x02PE20389	0	0.0	HG01114x02
HG01114x02PE20390	0	0.1277	HG01114x02
HG01114x02PE20391	1	0.9566	HG01114x02
HG01114x02PE20392	1	0.7768	HG01114x02
HG01114x02PE20393	0	0.0608	HG01114x02
HG01114x02PE20394	0	0.4511	HG01114x02
HG01114x02PE20395	1	0.8273	HG01114x02
HG01114x02PE20396	1	0.8213	HG01114x02
