cell	prediction	probability	sample
HG02106x02PE20301	0	0.0	HG02106x02
HG02106x02PE20302	0	0.0112	HG02106x02
HG02106x02PE20303	0	0.0	HG02106x02
HG02106x02PE20304	1	0.7538	HG02106x02
HG02106x02PE20305	1	0.8006	HG02106x02
HG02106x02PE20306	1	0.9185	HG02106x02
HG02106x02PE20307	0	0.0199	HG02106x02
HG02106x02PE20308	0	0.0	HG02106x02
HG02106x02PE20309	0	0.0	HG02106x02
HG02106x02PE20310	0	0.0	HG02106x02
HG02106x02PE20311	0	0.0178	HG02106x02
HG02106x02PE20312	1	0.8941	HG02106x02
HG02106x02PE20313	0	0.0012	HG02106x02
HG02106x02PE20314	0	0.0094	HG02106x02
HG02106x02PE20315	0	0.0	HG02106x02
HG02106x02PE20316	1	0.8507	HG02106x02
HG02106x02PE20317	0	0.0	HG02106x02
HG02106x02PE20318	1	0.915	HG02106x02
HG02106x02PE20319	0	0.0	HG02106x02
HG02106x02PE20320	0	0.0	HG02106x02
HG02106x02PE20321	0	0.0002	HG02106x02
HG02106x02PE20322	0	0.0089	HG02106x02
HG02106x02PE20323	1	0.9047	HG02106x02
HG02106x02PE20324	0	0.0447	HG02106x02
HG02106x02PE20325	0	0.0	HG02106x02
HG02106x02PE20326	1	0.8227	HG02106x02
HG02106x02PE20327	0	0.0638	HG02106x02
HG02106x02PE20328	0	0.1407	HG02106x02
HG02106x02PE20329	1	0.9727	HG02106x02
HG02106x02PE20330	1	0.8272	HG02106x02
HG02106x02PE20331	0	0.0436	HG02106x02
HG02106x02PE20332	0	0.0471	HG02106x02
HG02106x02PE20333	0	0.0	HG02106x02
HG02106x02PE20334	1	0.9088	HG02106x02
HG02106x02PE20335	0	0.3872	HG02106x02
HG02106x02PE20336	1	0.7582	HG02106x02
HG02106x02PE20337	0	0.0167	HG02106x02
HG02106x02PE20338	1	0.5	HG02106x02
HG02106x02PE20339	1	0.7806	HG02106x02
HG02106x02PE20340	0	0.0607	HG02106x02
HG02106x02PE20341	0	0.0	HG02106x02
HG02106x02PE20342	1	0.8904	HG02106x02
HG02106x02PE20343	0	0.0014	HG02106x02
HG02106x02PE20344	0	0.1321	HG02106x02
HG02106x02PE20345	1	0.8793	HG02106x02
HG02106x02PE20346	1	0.5149	HG02106x02
HG02106x02PE20347	0	0.0205	HG02106x02
HG02106x02PE20348	1	0.5342	HG02106x02
HG02106x02PE20349	0	0.0	HG02106x02
HG02106x02PE20350	0	0.2484	HG02106x02
HG02106x02PE20351	1	0.9222	HG02106x02
HG02106x02PE20352	1	0.8273	HG02106x02
HG02106x02PE20353	1	0.8388	HG02106x02
HG02106x02PE20354	0	0.0	HG02106x02
HG02106x02PE20355	0	0.0675	HG02106x02
HG02106x02PE20356	1	0.6306	HG02106x02
HG02106x02PE20357	0	0.0553	HG02106x02
HG02106x02PE20358	1	0.7628	HG02106x02
HG02106x02PE20359	1	0.9059	HG02106x02
HG02106x02PE20360	1	0.9287	HG02106x02
HG02106x02PE20361	1	0.7351	HG02106x02
HG02106x02PE20362	0	0.0	HG02106x02
HG02106x02PE20363	0	0.0	HG02106x02
HG02106x02PE20364	1	0.8243	HG02106x02
HG02106x02PE20365	1	0.8927	HG02106x02
HG02106x02PE20366	1	0.8534	HG02106x02
HG02106x02PE20367	0	0.0	HG02106x02
HG02106x02PE20368	0	0.2119	HG02106x02
HG02106x02PE20369	1	0.9477	HG02106x02
HG02106x02PE20370	0	0.0	HG02106x02
HG02106x02PE20371	0	0.0281	HG02106x02
HG02106x02PE20372	0	0.0082	HG02106x02
HG02106x02PE20373	1	0.877	HG02106x02
HG02106x02PE20374	1	0.9048	HG02106x02
HG02106x02PE20375	1	0.8739	HG02106x02
HG02106x02PE20376	0	0.0286	HG02106x02
HG02106x02PE20377	1	0.5766	HG02106x02
HG02106x02PE20378	1	0.5265	HG02106x02
HG02106x02PE20379	0	0.3186	HG02106x02
HG02106x02PE20380	0	0.1424	HG02106x02
HG02106x02PE20381	0	0.4317	HG02106x02
HG02106x02PE20382	1	0.7361	HG02106x02
HG02106x02PE20383	1	0.8141	HG02106x02
HG02106x02PE20384	1	0.8664	HG02106x02
HG02106x02PE20385	1	0.6629	HG02106x02
HG02106x02PE20386	0	0.0	HG02106x02
HG02106x02PE20387	0	0.0732	HG02106x02
HG02106x02PE20388	0	0.04	HG02106x02
HG02106x02PE20389	1	0.9068	HG02106x02
HG02106x02PE20390	1	0.8653	HG02106x02
HG02106x02PE20391	0	0.0	HG02106x02
HG02106x02PE20392	1	0.9137	HG02106x02
HG02106x02PE20393	1	0.5224	HG02106x02
HG02106x02PE20394	0	0.0	HG02106x02
HG02106x02PE20395	0	0.0242	HG02106x02
HG02106x02PE20396	0	0.0371	HG02106x02
