cell	prediction	probability	sample
HG00171Ax02PE20401	1	0.8228	HG00171Ax02
HG00171Ax02PE20402	0	0.0	HG00171Ax02
HG00171Ax02PE20403	0	0.0005	HG00171Ax02
HG00171Ax02PE20404	1	0.842	HG00171Ax02
HG00171Ax02PE20405	1	0.8928	HG00171Ax02
HG00171Ax02PE20406	0	0.0	HG00171Ax02
HG00171Ax02PE20407	0	0.0	HG00171Ax02
HG00171Ax02PE20408	0	0.1968	HG00171Ax02
HG00171Ax02PE20409	1	0.8993	HG00171Ax02
HG00171Ax02PE20410	1	0.8757	HG00171Ax02
HG00171Ax02PE20411	0	0.442	HG00171Ax02
HG00171Ax02PE20412	0	0.0	HG00171Ax02
HG00171Ax02PE20413	1	0.8124	HG00171Ax02
HG00171Ax02PE20414	1	0.822	HG00171Ax02
HG00171Ax02PE20415	1	0.9211	HG00171Ax02
HG00171Ax02PE20416	1	0.8124	HG00171Ax02
HG00171Ax02PE20417	1	0.8471	HG00171Ax02
HG00171Ax02PE20418	1	0.8299	HG00171Ax02
HG00171Ax02PE20419	1	0.8597	HG00171Ax02
HG00171Ax02PE20420	1	0.7511	HG00171Ax02
HG00171Ax02PE20421	1	0.825	HG00171Ax02
HG00171Ax02PE20422	0	0.0135	HG00171Ax02
HG00171Ax02PE20423	0	0.0819	HG00171Ax02
HG00171Ax02PE20424	0	0.3138	HG00171Ax02
HG00171Ax02PE20425	1	0.8245	HG00171Ax02
HG00171Ax02PE20426	1	0.883	HG00171Ax02
HG00171Ax02PE20427	0	0.1974	HG00171Ax02
HG00171Ax02PE20428	0	0.1236	HG00171Ax02
HG00171Ax02PE20429	1	0.8636	HG00171Ax02
HG00171Ax02PE20430	0	0.1959	HG00171Ax02
HG00171Ax02PE20431	1	0.8219	HG00171Ax02
HG00171Ax02PE20432	0	0.0298	HG00171Ax02
HG00171Ax02PE20433	0	0.359	HG00171Ax02
HG00171Ax02PE20434	1	0.8522	HG00171Ax02
HG00171Ax02PE20435	1	0.8718	HG00171Ax02
HG00171Ax02PE20436	1	0.8447	HG00171Ax02
HG00171Ax02PE20437	1	0.8572	HG00171Ax02
HG00171Ax02PE20438	0	0.0437	HG00171Ax02
HG00171Ax02PE20439	0	0.0353	HG00171Ax02
HG00171Ax02PE20440	0	0.0107	HG00171Ax02
HG00171Ax02PE20441	1	0.8556	HG00171Ax02
HG00171Ax02PE20442	1	0.9056	HG00171Ax02
HG00171Ax02PE20443	1	0.8402	HG00171Ax02
HG00171Ax02PE20444	1	0.7875	HG00171Ax02
HG00171Ax02PE20445	1	0.8625	HG00171Ax02
HG00171Ax02PE20446	0	0.0	HG00171Ax02
HG00171Ax02PE20447	1	0.8351	HG00171Ax02
HG00171Ax02PE20448	0	0.0117	HG00171Ax02
HG00171Ax02PE20449	0	0.2764	HG00171Ax02
HG00171Ax02PE20450	1	0.8834	HG00171Ax02
HG00171Ax02PE20451	0	0.0111	HG00171Ax02
HG00171Ax02PE20452	1	0.8432	HG00171Ax02
HG00171Ax02PE20453	1	0.9046	HG00171Ax02
HG00171Ax02PE20454	1	0.8947	HG00171Ax02
HG00171Ax02PE20455	1	0.8148	HG00171Ax02
HG00171Ax02PE20456	0	0.0708	HG00171Ax02
HG00171Ax02PE20457	1	0.8722	HG00171Ax02
HG00171Ax02PE20458	1	0.8723	HG00171Ax02
HG00171Ax02PE20459	0	0.1756	HG00171Ax02
HG00171Ax02PE20460	0	0.3299	HG00171Ax02
HG00171Ax02PE20461	0	0.0	HG00171Ax02
HG00171Ax02PE20462	1	0.5644	HG00171Ax02
HG00171Ax02PE20463	1	0.889	HG00171Ax02
HG00171Ax02PE20464	1	0.7295	HG00171Ax02
HG00171Ax02PE20465	0	0.3003	HG00171Ax02
HG00171Ax02PE20466	1	0.5992	HG00171Ax02
HG00171Ax02PE20467	0	0.0	HG00171Ax02
HG00171Ax02PE20468	1	0.8738	HG00171Ax02
HG00171Ax02PE20469	1	0.8671	HG00171Ax02
HG00171Ax02PE20470	1	0.8506	HG00171Ax02
HG00171Ax02PE20471	0	0.0	HG00171Ax02
HG00171Ax02PE20472	0	0.0665	HG00171Ax02
HG00171Ax02PE20473	0	0.1143	HG00171Ax02
HG00171Ax02PE20474	0	0.176	HG00171Ax02
HG00171Ax02PE20475	0	0.0005	HG00171Ax02
HG00171Ax02PE20476	1	0.8267	HG00171Ax02
HG00171Ax02PE20477	1	0.8536	HG00171Ax02
HG00171Ax02PE20478	1	0.8882	HG00171Ax02
HG00171Ax02PE20479	0	0.0231	HG00171Ax02
HG00171Ax02PE20480	0	0.0292	HG00171Ax02
HG00171Ax02PE20481	1	0.8884	HG00171Ax02
HG00171Ax02PE20482	0	0.0	HG00171Ax02
HG00171Ax02PE20483	0	0.1073	HG00171Ax02
HG00171Ax02PE20484	0	0.0	HG00171Ax02
HG00171Ax02PE20485	1	0.8637	HG00171Ax02
HG00171Ax02PE20486	1	0.8023	HG00171Ax02
HG00171Ax02PE20487	0	0.0169	HG00171Ax02
HG00171Ax02PE20488	0	0.0651	HG00171Ax02
HG00171Ax02PE20489	1	0.6157	HG00171Ax02
HG00171Ax02PE20490	0	0.0	HG00171Ax02
HG00171Ax02PE20491	1	0.8661	HG00171Ax02
HG00171Ax02PE20492	1	0.8174	HG00171Ax02
HG00171Ax02PE20493	0	0.3077	HG00171Ax02
HG00171Ax02PE20494	1	0.8783	HG00171Ax02
HG00171Ax02PE20495	0	0.0353	HG00171Ax02
HG00171Ax02PE20496	0	0.0881	HG00171Ax02
