cell	prediction	probability	sample
HG01573x02PE20301	1	0.8697	HG01573x02
HG01573x02PE20302	1	0.7877	HG01573x02
HG01573x02PE20303	0	0.0	HG01573x02
HG01573x02PE20304	0	0.0	HG01573x02
HG01573x02PE20305	1	0.7936	HG01573x02
HG01573x02PE20306	1	0.7166	HG01573x02
HG01573x02PE20307	0	0.0	HG01573x02
HG01573x02PE20308	0	0.1412	HG01573x02
HG01573x02PE20309	1	0.6482	HG01573x02
HG01573x02PE20310	1	0.8759	HG01573x02
HG01573x02PE20311	0	0.0	HG01573x02
HG01573x02PE20312	0	0.0037	HG01573x02
HG01573x02PE20313	1	0.8167	HG01573x02
HG01573x02PE20314	1	0.8031	HG01573x02
HG01573x02PE20315	1	0.8658	HG01573x02
HG01573x02PE20316	0	0.2252	HG01573x02
HG01573x02PE20317	1	0.8872	HG01573x02
HG01573x02PE20318	1	0.8981	HG01573x02
HG01573x02PE20319	0	0.0	HG01573x02
HG01573x02PE20320	1	0.8947	HG01573x02
HG01573x02PE20321	1	0.8458	HG01573x02
HG01573x02PE20322	1	0.8294	HG01573x02
HG01573x02PE20323	0	0.4712	HG01573x02
HG01573x02PE20324	0	0.0817	HG01573x02
HG01573x02PE20325	1	0.7034	HG01573x02
HG01573x02PE20326	1	0.7624	HG01573x02
HG01573x02PE20327	0	0.0	HG01573x02
HG01573x02PE20328	1	0.5625	HG01573x02
HG01573x02PE20329	1	0.8658	HG01573x02
HG01573x02PE20330	0	0.0588	HG01573x02
HG01573x02PE20331	0	0.0093	HG01573x02
HG01573x02PE20332	0	0.0648	HG01573x02
HG01573x02PE20333	1	0.9107	HG01573x02
HG01573x02PE20334	1	0.8414	HG01573x02
HG01573x02PE20335	0	0.0	HG01573x02
HG01573x02PE20336	0	0.0	HG01573x02
HG01573x02PE20337	1	0.8014	HG01573x02
HG01573x02PE20338	1	0.6664	HG01573x02
HG01573x02PE20339	1	0.8509	HG01573x02
HG01573x02PE20340	0	0.185	HG01573x02
HG01573x02PE20341	1	0.8547	HG01573x02
HG01573x02PE20342	1	0.8094	HG01573x02
HG01573x02PE20343	0	0.0	HG01573x02
HG01573x02PE20344	0	0.0	HG01573x02
HG01573x02PE20345	1	0.8496	HG01573x02
HG01573x02PE20346	1	0.8932	HG01573x02
HG01573x02PE20347	1	0.7648	HG01573x02
HG01573x02PE20348	0	0.1187	HG01573x02
HG01573x02PE20349	1	0.8913	HG01573x02
HG01573x02PE20350	1	0.7507	HG01573x02
HG01573x02PE20351	0	0.0	HG01573x02
HG01573x02PE20352	0	0.1059	HG01573x02
HG01573x02PE20353	0	0.0237	HG01573x02
HG01573x02PE20354	1	0.7993	HG01573x02
HG01573x02PE20355	0	0.0	HG01573x02
HG01573x02PE20356	0	0.0508	HG01573x02
HG01573x02PE20357	0	0.0179	HG01573x02
HG01573x02PE20358	1	0.8658	HG01573x02
HG01573x02PE20359	0	0.0	HG01573x02
HG01573x02PE20360	1	0.8905	HG01573x02
HG01573x02PE20361	1	0.8722	HG01573x02
HG01573x02PE20362	0	0.0509	HG01573x02
HG01573x02PE20363	0	0.0	HG01573x02
HG01573x02PE20364	1	0.8453	HG01573x02
HG01573x02PE20365	1	0.8931	HG01573x02
HG01573x02PE20366	1	0.5142	HG01573x02
HG01573x02PE20367	0	0.0	HG01573x02
HG01573x02PE20368	1	0.8796	HG01573x02
HG01573x02PE20369	1	0.7321	HG01573x02
HG01573x02PE20370	1	0.8325	HG01573x02
HG01573x02PE20371	0	0.0	HG01573x02
HG01573x02PE20372	0	0.368	HG01573x02
HG01573x02PE20373	1	0.8698	HG01573x02
HG01573x02PE20374	1	0.879	HG01573x02
HG01573x02PE20375	0	0.0	HG01573x02
HG01573x02PE20376	1	0.5685	HG01573x02
HG01573x02PE20377	0	0.0588	HG01573x02
HG01573x02PE20378	0	0.1012	HG01573x02
HG01573x02PE20379	0	0.0011	HG01573x02
HG01573x02PE20380	0	0.043	HG01573x02
HG01573x02PE20381	1	0.8936	HG01573x02
HG01573x02PE20382	1	0.8615	HG01573x02
HG01573x02PE20383	0	0.0	HG01573x02
HG01573x02PE20384	1	0.8274	HG01573x02
HG01573x02PE20385	1	0.8999	HG01573x02
HG01573x02PE20386	1	0.8805	HG01573x02
HG01573x02PE20387	0	0.0	HG01573x02
HG01573x02PE20388	0	0.0132	HG01573x02
HG01573x02PE20389	1	0.8899	HG01573x02
HG01573x02PE20390	1	0.8568	HG01573x02
HG01573x02PE20391	0	0.0004	HG01573x02
HG01573x02PE20392	1	0.8771	HG01573x02
HG01573x02PE20393	0	0.4093	HG01573x02
HG01573x02PE20394	0	0.444	HG01573x02
HG01573x02PE20395	0	0.0	HG01573x02
HG01573x02PE20396	0	0.0697	HG01573x02
