cell	prediction	probability	sample
HG02018x01PE20401	1	0.8742	HG02018x01
HG02018x01PE20402	0	0.0	HG02018x01
HG02018x01PE20403	0	0.0	HG02018x01
HG02018x01PE20404	0	0.4028	HG02018x01
HG02018x01PE20405	0	0.3536	HG02018x01
HG02018x01PE20406	1	0.7121	HG02018x01
HG02018x01PE20407	1	0.6659	HG02018x01
HG02018x01PE20408	0	0.0001	HG02018x01
HG02018x01PE20409	0	0.0104	HG02018x01
HG02018x01PE20410	1	0.9157	HG02018x01
HG02018x01PE20411	1	0.901	HG02018x01
HG02018x01PE20412	1	0.579	HG02018x01
HG02018x01PE20413	1	0.8463	HG02018x01
HG02018x01PE20414	1	0.6922	HG02018x01
HG02018x01PE20415	1	0.8209	HG02018x01
HG02018x01PE20416	0	0.0001	HG02018x01
HG02018x01PE20417	1	0.8844	HG02018x01
HG02018x01PE20418	1	0.6233	HG02018x01
HG02018x01PE20419	1	0.9151	HG02018x01
HG02018x01PE20420	1	0.8668	HG02018x01
HG02018x01PE20421	1	0.8349	HG02018x01
HG02018x01PE20422	1	0.8995	HG02018x01
HG02018x01PE20423	1	0.8253	HG02018x01
HG02018x01PE20424	1	0.7384	HG02018x01
HG02018x01PE20425	0	0.0078	HG02018x01
HG02018x01PE20426	1	0.886	HG02018x01
HG02018x01PE20427	1	0.8619	HG02018x01
HG02018x01PE20428	1	0.5681	HG02018x01
HG02018x01PE20429	0	0.0	HG02018x01
HG02018x01PE20430	1	0.9108	HG02018x01
HG02018x01PE20431	1	0.5347	HG02018x01
HG02018x01PE20432	1	0.7924	HG02018x01
HG02018x01PE20433	0	0.0	HG02018x01
HG02018x01PE20434	1	0.7585	HG02018x01
HG02018x01PE20435	1	0.6125	HG02018x01
HG02018x01PE20436	1	0.9543	HG02018x01
HG02018x01PE20437	1	0.8594	HG02018x01
HG02018x01PE20438	0	0.0	HG02018x01
HG02018x01PE20439	0	0.4857	HG02018x01
HG02018x01PE20440	1	0.8981	HG02018x01
HG02018x01PE20441	1	0.7525	HG02018x01
HG02018x01PE20442	1	0.8912	HG02018x01
HG02018x01PE20443	1	0.6678	HG02018x01
HG02018x01PE20444	0	0.0189	HG02018x01
HG02018x01PE20445	0	0.0003	HG02018x01
HG02018x01PE20446	0	0.0332	HG02018x01
HG02018x01PE20447	1	0.7966	HG02018x01
HG02018x01PE20448	0	0.0083	HG02018x01
HG02018x01PE20449	1	0.9098	HG02018x01
HG02018x01PE20450	0	0.0777	HG02018x01
HG02018x01PE20451	1	0.8683	HG02018x01
HG02018x01PE20452	0	0.0239	HG02018x01
HG02018x01PE20453	1	0.9298	HG02018x01
HG02018x01PE20454	1	0.638	HG02018x01
HG02018x01PE20455	0	0.0001	HG02018x01
HG02018x01PE20456	1	0.854	HG02018x01
HG02018x01PE20457	0	0.0	HG02018x01
HG02018x01PE20458	0	0.0	HG02018x01
HG02018x01PE20459	0	0.0003	HG02018x01
HG02018x01PE20460	1	0.8642	HG02018x01
HG02018x01PE20461	1	0.9124	HG02018x01
HG02018x01PE20462	0	0.1131	HG02018x01
HG02018x01PE20463	1	0.6842	HG02018x01
HG02018x01PE20464	1	0.7622	HG02018x01
HG02018x01PE20465	1	0.8485	HG02018x01
HG02018x01PE20466	1	0.5	HG02018x01
HG02018x01PE20467	1	0.8514	HG02018x01
HG02018x01PE20468	1	0.6847	HG02018x01
HG02018x01PE20469	1	0.7509	HG02018x01
HG02018x01PE20470	1	0.8152	HG02018x01
HG02018x01PE20471	0	0.0082	HG02018x01
HG02018x01PE20472	0	0.0389	HG02018x01
HG02018x01PE20473	1	0.7495	HG02018x01
HG02018x01PE20474	0	0.0007	HG02018x01
HG02018x01PE20475	1	0.7968	HG02018x01
HG02018x01PE20476	1	0.8876	HG02018x01
HG02018x01PE20477	0	0.0	HG02018x01
HG02018x01PE20478	1	0.9439	HG02018x01
HG02018x01PE20479	0	0.4859	HG02018x01
HG02018x01PE20480	1	0.9122	HG02018x01
HG02018x01PE20481	1	0.7684	HG02018x01
HG02018x01PE20482	0	0.0	HG02018x01
HG02018x01PE20483	0	0.0004	HG02018x01
HG02018x01PE20484	1	0.825	HG02018x01
HG02018x01PE20485	1	0.9003	HG02018x01
HG02018x01PE20486	1	0.8061	HG02018x01
HG02018x01PE20487	0	0.0054	HG02018x01
HG02018x01PE20488	1	0.7795	HG02018x01
HG02018x01PE20489	1	0.8243	HG02018x01
HG02018x01PE20490	1	0.8665	HG02018x01
HG02018x01PE20491	0	0.3859	HG02018x01
HG02018x01PE20492	0	0.168	HG02018x01
HG02018x01PE20493	0	0.0091	HG02018x01
HG02018x01PE20494	1	0.8649	HG02018x01
HG02018x01PE20495	0	0.0001	HG02018x01
HG02018x01PE20496	0	0.0	HG02018x01
