cell	prediction	probability	sample
HG19036Bx02PE20301	1	0.8808	HG19036Bx02
HG19036Bx02PE20302	0	0.3225	HG19036Bx02
HG19036Bx02PE20303	1	0.9191	HG19036Bx02
HG19036Bx02PE20304	1	0.8643	HG19036Bx02
HG19036Bx02PE20305	1	0.8032	HG19036Bx02
HG19036Bx02PE20306	1	0.6968	HG19036Bx02
HG19036Bx02PE20307	0	0.3443	HG19036Bx02
HG19036Bx02PE20308	0	0.4539	HG19036Bx02
HG19036Bx02PE20309	1	0.8514	HG19036Bx02
HG19036Bx02PE20310	1	0.5071	HG19036Bx02
HG19036Bx02PE20311	1	0.8981	HG19036Bx02
HG19036Bx02PE20312	1	0.7938	HG19036Bx02
HG19036Bx02PE20313	1	0.8512	HG19036Bx02
HG19036Bx02PE20314	0	0.4787	HG19036Bx02
HG19036Bx02PE20315	1	0.8626	HG19036Bx02
HG19036Bx02PE20316	1	0.833	HG19036Bx02
HG19036Bx02PE20317	0	0.1093	HG19036Bx02
HG19036Bx02PE20318	1	0.9101	HG19036Bx02
HG19036Bx02PE20319	0	0.0567	HG19036Bx02
HG19036Bx02PE20320	1	0.6948	HG19036Bx02
HG19036Bx02PE20321	1	0.8493	HG19036Bx02
HG19036Bx02PE20322	1	0.8539	HG19036Bx02
HG19036Bx02PE20323	1	0.795	HG19036Bx02
HG19036Bx02PE20324	0	0.0276	HG19036Bx02
HG19036Bx02PE20325	1	0.8972	HG19036Bx02
HG19036Bx02PE20326	0	0.0058	HG19036Bx02
HG19036Bx02PE20327	0	0.0	HG19036Bx02
HG19036Bx02PE20328	0	0.0	HG19036Bx02
HG19036Bx02PE20329	1	0.9137	HG19036Bx02
HG19036Bx02PE20330	0	0.057	HG19036Bx02
HG19036Bx02PE20331	1	0.8485	HG19036Bx02
HG19036Bx02PE20332	0	0.0013	HG19036Bx02
HG19036Bx02PE20333	1	0.7202	HG19036Bx02
HG19036Bx02PE20334	1	0.7124	HG19036Bx02
HG19036Bx02PE20335	1	0.7366	HG19036Bx02
HG19036Bx02PE20336	1	0.9027	HG19036Bx02
HG19036Bx02PE20337	0	0.2806	HG19036Bx02
HG19036Bx02PE20338	1	0.9085	HG19036Bx02
HG19036Bx02PE20339	1	0.7878	HG19036Bx02
HG19036Bx02PE20340	1	0.8744	HG19036Bx02
HG19036Bx02PE20341	1	0.8925	HG19036Bx02
HG19036Bx02PE20342	1	0.8995	HG19036Bx02
HG19036Bx02PE20343	1	0.8541	HG19036Bx02
HG19036Bx02PE20344	1	0.8098	HG19036Bx02
HG19036Bx02PE20345	0	0.2136	HG19036Bx02
HG19036Bx02PE20346	0	0.0685	HG19036Bx02
