cell	prediction	probability	sample
GM19983x02PE20401	0	0.0	GM19983x02
GM19983x02PE20402	0	0.2368	GM19983x02
GM19983x02PE20403	1	0.7278	GM19983x02
GM19983x02PE20404	0	0.32	GM19983x02
GM19983x02PE20405	1	0.754	GM19983x02
GM19983x02PE20406	1	0.8983	GM19983x02
GM19983x02PE20407	1	0.747	GM19983x02
GM19983x02PE20408	0	0.0	GM19983x02
GM19983x02PE20409	0	0.1374	GM19983x02
GM19983x02PE20410	1	0.8717	GM19983x02
GM19983x02PE20411	0	0.0654	GM19983x02
GM19983x02PE20412	1	0.9627	GM19983x02
GM19983x02PE20413	1	0.8966	GM19983x02
GM19983x02PE20414	1	0.8392	GM19983x02
GM19983x02PE20415	0	0.2089	GM19983x02
GM19983x02PE20416	0	0.0	GM19983x02
GM19983x02PE20417	0	0.0	GM19983x02
GM19983x02PE20418	1	0.5239	GM19983x02
GM19983x02PE20419	1	0.9069	GM19983x02
GM19983x02PE20420	0	0.2639	GM19983x02
GM19983x02PE20421	0	0.4831	GM19983x02
GM19983x02PE20422	1	0.7558	GM19983x02
GM19983x02PE20423	1	0.8848	GM19983x02
GM19983x02PE20424	0	0.0	GM19983x02
GM19983x02PE20425	1	0.8963	GM19983x02
GM19983x02PE20426	0	0.4884	GM19983x02
GM19983x02PE20427	1	0.7058	GM19983x02
GM19983x02PE20428	1	0.8708	GM19983x02
GM19983x02PE20429	1	0.9238	GM19983x02
GM19983x02PE20430	1	0.5977	GM19983x02
GM19983x02PE20431	1	0.7849	GM19983x02
GM19983x02PE20432	0	0.0	GM19983x02
GM19983x02PE20433	0	0.0123	GM19983x02
GM19983x02PE20434	1	0.888	GM19983x02
GM19983x02PE20435	1	0.9063	GM19983x02
GM19983x02PE20436	1	0.8514	GM19983x02
GM19983x02PE20437	0	0.3204	GM19983x02
GM19983x02PE20438	1	0.9069	GM19983x02
GM19983x02PE20439	0	0.0025	GM19983x02
GM19983x02PE20440	0	0.0	GM19983x02
GM19983x02PE20441	1	0.8811	GM19983x02
GM19983x02PE20442	0	0.2217	GM19983x02
GM19983x02PE20443	1	0.887	GM19983x02
GM19983x02PE20444	1	0.9074	GM19983x02
GM19983x02PE20445	0	0.0737	GM19983x02
GM19983x02PE20446	0	0.1471	GM19983x02
GM19983x02PE20447	1	0.8939	GM19983x02
GM19983x02PE20448	1	0.5079	GM19983x02
GM19983x02PE20449	1	0.9009	GM19983x02
GM19983x02PE20450	0	0.1103	GM19983x02
GM19983x02PE20451	1	0.8797	GM19983x02
GM19983x02PE20452	1	0.8776	GM19983x02
GM19983x02PE20453	1	0.8738	GM19983x02
GM19983x02PE20454	1	0.8969	GM19983x02
GM19983x02PE20455	0	0.4842	GM19983x02
GM19983x02PE20456	0	0.0045	GM19983x02
GM19983x02PE20457	0	0.072	GM19983x02
GM19983x02PE20458	1	0.8988	GM19983x02
GM19983x02PE20459	1	0.8892	GM19983x02
GM19983x02PE20460	0	0.0	GM19983x02
GM19983x02PE20461	1	0.9065	GM19983x02
GM19983x02PE20462	1	0.6988	GM19983x02
GM19983x02PE20463	1	0.8985	GM19983x02
GM19983x02PE20464	1	0.9125	GM19983x02
GM19983x02PE20465	0	0.0	GM19983x02
GM19983x02PE20466	1	0.8601	GM19983x02
GM19983x02PE20467	1	0.885	GM19983x02
GM19983x02PE20468	0	0.0006	GM19983x02
GM19983x02PE20469	0	0.1193	GM19983x02
GM19983x02PE20470	1	0.859	GM19983x02
GM19983x02PE20471	0	0.0	GM19983x02
GM19983x02PE20472	0	0.0	GM19983x02
GM19983x02PE20473	0	0.0	GM19983x02
GM19983x02PE20474	1	0.9132	GM19983x02
GM19983x02PE20475	1	0.8877	GM19983x02
GM19983x02PE20476	0	0.0003	GM19983x02
GM19983x02PE20477	1	0.5275	GM19983x02
GM19983x02PE20478	0	0.0	GM19983x02
GM19983x02PE20479	1	0.8994	GM19983x02
GM19983x02PE20480	0	0.0	GM19983x02
GM19983x02PE20481	0	0.0155	GM19983x02
GM19983x02PE20482	1	0.8434	GM19983x02
GM19983x02PE20483	0	0.0	GM19983x02
GM19983x02PE20484	1	0.8514	GM19983x02
GM19983x02PE20485	0	0.0221	GM19983x02
GM19983x02PE20486	1	0.5841	GM19983x02
GM19983x02PE20487	0	0.319	GM19983x02
GM19983x02PE20488	0	0.0	GM19983x02
GM19983x02PE20489	0	0.0	GM19983x02
GM19983x02PE20490	1	0.9201	GM19983x02
GM19983x02PE20491	0	0.0	GM19983x02
GM19983x02PE20492	1	0.9139	GM19983x02
GM19983x02PE20493	1	0.8966	GM19983x02
GM19983x02PE20494	1	0.8805	GM19983x02
GM19983x02PE20495	0	0.0	GM19983x02
GM19983x02PE20496	0	0.0	GM19983x02
