cell	prediction	probability	sample
HG03371x02PE20501	0	0.1445	HG03371x02
HG03371x02PE20502	1	0.9052	HG03371x02
HG03371x02PE20503	0	0.2029	HG03371x02
HG03371x02PE20504	1	0.8563	HG03371x02
HG03371x02PE20505	1	0.8916	HG03371x02
HG03371x02PE20506	1	0.8965	HG03371x02
HG03371x02PE20507	0	0.0814	HG03371x02
HG03371x02PE20508	1	0.8842	HG03371x02
HG03371x02PE20509	1	0.9233	HG03371x02
HG03371x02PE20510	1	0.9213	HG03371x02
HG03371x02PE20511	0	0.1214	HG03371x02
HG03371x02PE20512	1	0.9326	HG03371x02
HG03371x02PE20513	0	0.0112	HG03371x02
HG03371x02PE20514	1	0.5842	HG03371x02
HG03371x02PE20515	0	0.0	HG03371x02
HG03371x02PE20516	0	0.0	HG03371x02
HG03371x02PE20517	0	0.0	HG03371x02
HG03371x02PE20518	1	0.9002	HG03371x02
HG03371x02PE20519	1	0.8872	HG03371x02
HG03371x02PE20520	1	0.9439	HG03371x02
HG03371x02PE20521	1	0.9204	HG03371x02
HG03371x02PE20522	1	0.8709	HG03371x02
HG03371x02PE20523	1	0.8993	HG03371x02
HG03371x02PE20524	1	0.929	HG03371x02
HG03371x02PE20525	1	0.9045	HG03371x02
HG03371x02PE20526	1	0.8881	HG03371x02
HG03371x02PE20527	1	0.9116	HG03371x02
HG03371x02PE20528	1	0.8797	HG03371x02
HG03371x02PE20529	0	0.0	HG03371x02
HG03371x02PE20530	1	0.8514	HG03371x02
HG03371x02PE20531	0	0.0018	HG03371x02
HG03371x02PE20532	0	0.0	HG03371x02
HG03371x02PE20533	1	0.9066	HG03371x02
HG03371x02PE20534	1	0.8607	HG03371x02
HG03371x02PE20535	1	0.8752	HG03371x02
HG03371x02PE20536	1	0.6433	HG03371x02
HG03371x02PE20537	0	0.2769	HG03371x02
HG03371x02PE20538	1	0.8958	HG03371x02
HG03371x02PE20539	0	0.0001	HG03371x02
HG03371x02PE20540	1	0.9092	HG03371x02
HG03371x02PE20541	1	0.8811	HG03371x02
HG03371x02PE20542	1	0.8671	HG03371x02
HG03371x02PE20543	1	0.6096	HG03371x02
HG03371x02PE20544	1	0.8599	HG03371x02
HG03371x02PE20545	0	0.0078	HG03371x02
HG03371x02PE20546	0	0.0	HG03371x02
HG03371x02PE20547	1	0.9076	HG03371x02
HG03371x02PE20548	0	0.2693	HG03371x02
HG03371x02PE20549	1	0.7116	HG03371x02
HG03371x02PE20550	1	0.9092	HG03371x02
HG03371x02PE20551	1	0.8615	HG03371x02
HG03371x02PE20552	1	0.8988	HG03371x02
HG03371x02PE20553	1	0.9203	HG03371x02
HG03371x02PE20554	0	0.0	HG03371x02
HG03371x02PE20555	1	0.8793	HG03371x02
HG03371x02PE20556	1	0.7057	HG03371x02
HG03371x02PE20557	1	0.9515	HG03371x02
HG03371x02PE20558	1	0.9017	HG03371x02
HG03371x02PE20559	1	0.8631	HG03371x02
HG03371x02PE20560	1	0.9184	HG03371x02
HG03371x02PE20561	1	0.9331	HG03371x02
HG03371x02PE20562	1	0.917	HG03371x02
HG03371x02PE20563	0	0.0	HG03371x02
HG03371x02PE20564	1	0.9149	HG03371x02
HG03371x02PE20565	1	0.8078	HG03371x02
HG03371x02PE20566	0	0.0109	HG03371x02
HG03371x02PE20567	1	0.8894	HG03371x02
HG03371x02PE20568	1	0.8987	HG03371x02
HG03371x02PE20569	0	0.0	HG03371x02
HG03371x02PE20570	1	0.9088	HG03371x02
HG03371x02PE20571	0	0.3471	HG03371x02
HG03371x02PE20572	0	0.1266	HG03371x02
HG03371x02PE20573	1	0.8955	HG03371x02
HG03371x02PE20574	1	0.9236	HG03371x02
HG03371x02PE20575	0	0.0152	HG03371x02
HG03371x02PE20576	1	0.927	HG03371x02
HG03371x02PE20577	1	0.9175	HG03371x02
HG03371x02PE20578	1	0.9058	HG03371x02
HG03371x02PE20579	1	0.9	HG03371x02
HG03371x02PE20580	1	0.9318	HG03371x02
HG03371x02PE20581	1	0.8769	HG03371x02
HG03371x02PE20582	1	0.892	HG03371x02
HG03371x02PE20583	1	0.8989	HG03371x02
HG03371x02PE20584	1	0.9301	HG03371x02
HG03371x02PE20585	1	0.9211	HG03371x02
HG03371x02PE20586	1	0.9348	HG03371x02
HG03371x02PE20587	0	0.0	HG03371x02
HG03371x02PE20588	0	0.0058	HG03371x02
HG03371x02PE20589	1	0.8223	HG03371x02
HG03371x02PE20590	0	0.0	HG03371x02
HG03371x02PE20591	1	0.7071	HG03371x02
HG03371x02PE20592	1	0.8889	HG03371x02
HG03371x02PE20593	1	0.9355	HG03371x02
HG03371x02PE20594	1	0.9246	HG03371x02
HG03371x02PE20595	0	0.0	HG03371x02
HG03371x02PE20596	1	0.9206	HG03371x02
