cell	prediction	probability	sample
HG03009x02PE20301	1	0.8514	HG03009x02
HG03009x02PE20302	1	0.9053	HG03009x02
HG03009x02PE20303	0	0.3784	HG03009x02
HG03009x02PE20304	1	0.8795	HG03009x02
HG03009x02PE20305	0	0.3997	HG03009x02
HG03009x02PE20306	0	0.1257	HG03009x02
HG03009x02PE20307	1	0.9291	HG03009x02
HG03009x02PE20308	1	0.8262	HG03009x02
HG03009x02PE20309	1	0.7587	HG03009x02
HG03009x02PE20310	0	0.0	HG03009x02
HG03009x02PE20311	1	0.8971	HG03009x02
HG03009x02PE20312	1	0.9068	HG03009x02
HG03009x02PE20313	1	0.7858	HG03009x02
HG03009x02PE20314	1	0.9067	HG03009x02
HG03009x02PE20315	1	0.9795	HG03009x02
HG03009x02PE20316	0	0.1515	HG03009x02
HG03009x02PE20317	1	0.8925	HG03009x02
HG03009x02PE20318	1	0.9141	HG03009x02
HG03009x02PE20319	1	0.8609	HG03009x02
HG03009x02PE20320	1	0.8213	HG03009x02
HG03009x02PE20321	0	0.0	HG03009x02
HG03009x02PE20322	1	0.8315	HG03009x02
HG03009x02PE20323	1	0.7179	HG03009x02
HG03009x02PE20324	1	0.8634	HG03009x02
HG03009x02PE20325	0	0.0029	HG03009x02
HG03009x02PE20326	1	0.8907	HG03009x02
HG03009x02PE20327	0	0.0023	HG03009x02
HG03009x02PE20328	1	0.8873	HG03009x02
HG03009x02PE20329	1	0.8768	HG03009x02
HG03009x02PE20330	0	0.0	HG03009x02
HG03009x02PE20331	0	0.1609	HG03009x02
HG03009x02PE20332	1	0.8588	HG03009x02
HG03009x02PE20333	1	0.9107	HG03009x02
HG03009x02PE20334	1	0.9273	HG03009x02
HG03009x02PE20335	0	0.0011	HG03009x02
HG03009x02PE20336	0	0.1012	HG03009x02
HG03009x02PE20337	0	0.389	HG03009x02
HG03009x02PE20338	1	0.8714	HG03009x02
HG03009x02PE20339	1	0.9163	HG03009x02
HG03009x02PE20340	1	0.8897	HG03009x02
HG03009x02PE20341	1	0.8867	HG03009x02
HG03009x02PE20342	1	0.8695	HG03009x02
HG03009x02PE20343	1	0.9	HG03009x02
HG03009x02PE20344	0	0.0	HG03009x02
HG03009x02PE20345	1	0.9056	HG03009x02
HG03009x02PE20346	1	0.8797	HG03009x02
HG03009x02PE20347	1	0.8551	HG03009x02
HG03009x02PE20348	1	0.8258	HG03009x02
HG03009x02PE20349	1	0.7912	HG03009x02
HG03009x02PE20350	1	0.8888	HG03009x02
HG03009x02PE20351	1	0.8304	HG03009x02
HG03009x02PE20352	0	0.0	HG03009x02
HG03009x02PE20353	1	0.8833	HG03009x02
HG03009x02PE20354	1	0.92	HG03009x02
HG03009x02PE20355	1	0.8703	HG03009x02
HG03009x02PE20356	1	0.9091	HG03009x02
HG03009x02PE20357	1	0.5	HG03009x02
HG03009x02PE20358	1	0.8829	HG03009x02
HG03009x02PE20359	1	0.9181	HG03009x02
HG03009x02PE20360	0	0.0	HG03009x02
HG03009x02PE20361	1	0.8852	HG03009x02
HG03009x02PE20362	1	0.9013	HG03009x02
HG03009x02PE20363	0	0.004	HG03009x02
HG03009x02PE20364	1	0.893	HG03009x02
HG03009x02PE20365	1	0.8597	HG03009x02
HG03009x02PE20366	0	0.3442	HG03009x02
HG03009x02PE20367	0	0.0	HG03009x02
HG03009x02PE20368	0	0.0	HG03009x02
HG03009x02PE20369	1	0.8724	HG03009x02
HG03009x02PE20370	0	0.0658	HG03009x02
HG03009x02PE20371	1	0.9027	HG03009x02
HG03009x02PE20372	0	0.2042	HG03009x02
HG03009x02PE20373	1	0.8942	HG03009x02
HG03009x02PE20374	1	0.8999	HG03009x02
HG03009x02PE20375	0	0.0	HG03009x02
HG03009x02PE20376	0	0.0	HG03009x02
HG03009x02PE20377	0	0.356	HG03009x02
HG03009x02PE20378	0	0.167	HG03009x02
HG03009x02PE20379	1	0.866	HG03009x02
HG03009x02PE20380	1	0.8798	HG03009x02
HG03009x02PE20381	0	0.0077	HG03009x02
HG03009x02PE20382	1	0.9305	HG03009x02
HG03009x02PE20383	0	0.0047	HG03009x02
HG03009x02PE20384	0	0.023	HG03009x02
HG03009x02PE20385	0	0.0	HG03009x02
HG03009x02PE20386	1	0.9489	HG03009x02
HG03009x02PE20387	1	0.8749	HG03009x02
HG03009x02PE20388	1	0.8874	HG03009x02
HG03009x02PE20389	1	0.8728	HG03009x02
HG03009x02PE20390	1	0.8652	HG03009x02
HG03009x02PE20391	1	0.87	HG03009x02
HG03009x02PE20392	0	0.0	HG03009x02
HG03009x02PE20393	0	0.0049	HG03009x02
HG03009x02PE20394	1	0.9046	HG03009x02
HG03009x02PE20395	1	0.9353	HG03009x02
HG03009x02PE20396	0	0.3115	HG03009x02
