cell	prediction	probability	sample
GM19650Ax02PE20501	1	0.8906	GM19650Ax02
GM19650Ax02PE20502	1	0.8412	GM19650Ax02
GM19650Ax02PE20503	0	0.0285	GM19650Ax02
GM19650Ax02PE20504	1	0.8543	GM19650Ax02
GM19650Ax02PE20505	0	0.0008	GM19650Ax02
GM19650Ax02PE20506	1	0.85	GM19650Ax02
GM19650Ax02PE20507	1	0.8748	GM19650Ax02
GM19650Ax02PE20508	1	0.8543	GM19650Ax02
GM19650Ax02PE20509	1	0.7397	GM19650Ax02
GM19650Ax02PE20510	1	0.7866	GM19650Ax02
GM19650Ax02PE20511	1	0.9146	GM19650Ax02
GM19650Ax02PE20512	1	0.8863	GM19650Ax02
GM19650Ax02PE20513	1	0.8828	GM19650Ax02
GM19650Ax02PE20514	1	0.5767	GM19650Ax02
GM19650Ax02PE20515	0	0.4465	GM19650Ax02
GM19650Ax02PE20516	0	0.0	GM19650Ax02
GM19650Ax02PE20517	1	0.7919	GM19650Ax02
GM19650Ax02PE20518	0	0.2959	GM19650Ax02
GM19650Ax02PE20519	1	0.9071	GM19650Ax02
GM19650Ax02PE20520	1	0.8904	GM19650Ax02
GM19650Ax02PE20521	1	0.6281	GM19650Ax02
GM19650Ax02PE20522	0	0.4236	GM19650Ax02
GM19650Ax02PE20523	0	0.1142	GM19650Ax02
GM19650Ax02PE20524	1	0.8616	GM19650Ax02
GM19650Ax02PE20525	0	0.4193	GM19650Ax02
GM19650Ax02PE20526	1	0.8366	GM19650Ax02
GM19650Ax02PE20527	0	0.4785	GM19650Ax02
GM19650Ax02PE20528	1	0.8738	GM19650Ax02
GM19650Ax02PE20529	1	0.8936	GM19650Ax02
GM19650Ax02PE20530	1	0.8916	GM19650Ax02
GM19650Ax02PE20531	1	0.8148	GM19650Ax02
GM19650Ax02PE20532	1	0.7036	GM19650Ax02
GM19650Ax02PE20533	0	0.0	GM19650Ax02
GM19650Ax02PE20534	1	0.903	GM19650Ax02
GM19650Ax02PE20535	0	0.0	GM19650Ax02
GM19650Ax02PE20536	1	0.8612	GM19650Ax02
GM19650Ax02PE20537	1	0.8762	GM19650Ax02
GM19650Ax02PE20538	1	0.8658	GM19650Ax02
GM19650Ax02PE20539	1	0.9083	GM19650Ax02
GM19650Ax02PE20540	0	0.0566	GM19650Ax02
GM19650Ax02PE20541	1	0.8167	GM19650Ax02
GM19650Ax02PE20542	0	0.1717	GM19650Ax02
GM19650Ax02PE20543	1	0.8896	GM19650Ax02
GM19650Ax02PE20544	1	0.9194	GM19650Ax02
GM19650Ax02PE20545	1	0.904	GM19650Ax02
GM19650Ax02PE20546	0	0.0	GM19650Ax02
GM19650Ax02PE20547	1	0.7998	GM19650Ax02
GM19650Ax02PE20548	1	0.9302	GM19650Ax02
GM19650Ax02PE20549	1	0.8883	GM19650Ax02
GM19650Ax02PE20550	1	0.8696	GM19650Ax02
GM19650Ax02PE20551	1	0.883	GM19650Ax02
GM19650Ax02PE20552	1	0.9275	GM19650Ax02
GM19650Ax02PE20553	1	0.8919	GM19650Ax02
GM19650Ax02PE20554	0	0.0	GM19650Ax02
GM19650Ax02PE20555	0	0.0001	GM19650Ax02
GM19650Ax02PE20556	0	0.0871	GM19650Ax02
GM19650Ax02PE20557	1	0.8823	GM19650Ax02
GM19650Ax02PE20558	1	0.9535	GM19650Ax02
GM19650Ax02PE20559	0	0.3142	GM19650Ax02
GM19650Ax02PE20560	1	0.8376	GM19650Ax02
GM19650Ax02PE20561	1	0.8572	GM19650Ax02
GM19650Ax02PE20562	1	0.8893	GM19650Ax02
GM19650Ax02PE20563	1	0.8937	GM19650Ax02
GM19650Ax02PE20564	0	0.0	GM19650Ax02
GM19650Ax02PE20565	0	0.4334	GM19650Ax02
GM19650Ax02PE20566	0	0.0036	GM19650Ax02
GM19650Ax02PE20567	1	0.9221	GM19650Ax02
GM19650Ax02PE20568	1	0.8911	GM19650Ax02
GM19650Ax02PE20569	1	0.898	GM19650Ax02
GM19650Ax02PE20570	1	0.8399	GM19650Ax02
GM19650Ax02PE20571	1	0.9002	GM19650Ax02
GM19650Ax02PE20572	1	0.9245	GM19650Ax02
GM19650Ax02PE20573	1	0.9035	GM19650Ax02
GM19650Ax02PE20574	1	0.9005	GM19650Ax02
GM19650Ax02PE20575	1	0.8999	GM19650Ax02
GM19650Ax02PE20576	1	0.8816	GM19650Ax02
GM19650Ax02PE20577	0	0.0449	GM19650Ax02
GM19650Ax02PE20578	1	0.7791	GM19650Ax02
GM19650Ax02PE20579	0	0.0199	GM19650Ax02
GM19650Ax02PE20580	1	0.8473	GM19650Ax02
GM19650Ax02PE20581	0	0.0	GM19650Ax02
GM19650Ax02PE20582	1	0.8969	GM19650Ax02
GM19650Ax02PE20583	0	0.4812	GM19650Ax02
GM19650Ax02PE20584	1	0.8397	GM19650Ax02
GM19650Ax02PE20585	0	0.0	GM19650Ax02
GM19650Ax02PE20586	1	0.6546	GM19650Ax02
GM19650Ax02PE20587	0	0.0	GM19650Ax02
GM19650Ax02PE20588	1	0.9344	GM19650Ax02
GM19650Ax02PE20589	0	0.4644	GM19650Ax02
GM19650Ax02PE20590	1	0.8707	GM19650Ax02
GM19650Ax02PE20591	1	0.9324	GM19650Ax02
GM19650Ax02PE20592	1	0.8515	GM19650Ax02
GM19650Ax02PE20593	0	0.3451	GM19650Ax02
GM19650Ax02PE20594	0	0.0	GM19650Ax02
GM19650Ax02PE20595	1	0.89	GM19650Ax02
GM19650Ax02PE20596	1	0.9406	GM19650Ax02
