cell	prediction	probability	sample
HG01505x01PE20401	1	0.8875	HG01505x01
HG01505x01PE20402	1	0.8584	HG01505x01
HG01505x01PE20403	0	0.0	HG01505x01
HG01505x01PE20404	0	0.058	HG01505x01
HG01505x01PE20405	1	0.9091	HG01505x01
HG01505x01PE20406	1	0.8184	HG01505x01
HG01505x01PE20407	1	0.9481	HG01505x01
HG01505x01PE20408	1	0.9025	HG01505x01
HG01505x01PE20409	1	0.9222	HG01505x01
HG01505x01PE20410	0	0.1231	HG01505x01
HG01505x01PE20411	1	0.9169	HG01505x01
HG01505x01PE20412	1	0.9403	HG01505x01
HG01505x01PE20413	1	0.8509	HG01505x01
HG01505x01PE20414	1	0.9156	HG01505x01
HG01505x01PE20415	1	0.9405	HG01505x01
HG01505x01PE20416	1	0.7808	HG01505x01
HG01505x01PE20417	0	0.038	HG01505x01
HG01505x01PE20418	0	0.1438	HG01505x01
HG01505x01PE20419	1	0.921	HG01505x01
HG01505x01PE20420	0	0.4655	HG01505x01
HG01505x01PE20421	1	0.8639	HG01505x01
HG01505x01PE20422	1	0.9171	HG01505x01
HG01505x01PE20423	0	0.0	HG01505x01
HG01505x01PE20424	0	0.0282	HG01505x01
HG01505x01PE20425	1	0.9103	HG01505x01
HG01505x01PE20426	1	0.9093	HG01505x01
HG01505x01PE20427	0	0.0	HG01505x01
HG01505x01PE20428	1	0.8912	HG01505x01
HG01505x01PE20429	1	0.9118	HG01505x01
HG01505x01PE20430	1	0.8506	HG01505x01
HG01505x01PE20431	1	0.9287	HG01505x01
HG01505x01PE20432	0	0.0299	HG01505x01
HG01505x01PE20433	1	0.938	HG01505x01
HG01505x01PE20434	1	0.9025	HG01505x01
HG01505x01PE20435	1	0.5	HG01505x01
HG01505x01PE20436	1	0.8821	HG01505x01
HG01505x01PE20437	0	0.1651	HG01505x01
HG01505x01PE20438	1	0.8873	HG01505x01
HG01505x01PE20439	1	0.8639	HG01505x01
HG01505x01PE20440	0	0.0131	HG01505x01
HG01505x01PE20441	0	0.2722	HG01505x01
HG01505x01PE20442	1	0.9218	HG01505x01
HG01505x01PE20443	1	0.9141	HG01505x01
HG01505x01PE20444	1	0.8856	HG01505x01
HG01505x01PE20445	1	0.9167	HG01505x01
HG01505x01PE20446	1	0.8497	HG01505x01
HG01505x01PE20447	1	0.8839	HG01505x01
HG01505x01PE20448	0	0.0655	HG01505x01
HG01505x01PE20449	1	0.8682	HG01505x01
HG01505x01PE20450	1	0.9043	HG01505x01
HG01505x01PE20451	0	0.0	HG01505x01
HG01505x01PE20452	0	0.4231	HG01505x01
HG01505x01PE20453	1	0.9185	HG01505x01
HG01505x01PE20454	1	0.8988	HG01505x01
HG01505x01PE20455	1	0.9115	HG01505x01
HG01505x01PE20456	1	0.7547	HG01505x01
HG01505x01PE20457	1	0.9129	HG01505x01
HG01505x01PE20458	1	0.8556	HG01505x01
HG01505x01PE20459	0	0.0242	HG01505x01
HG01505x01PE20460	1	0.8974	HG01505x01
HG01505x01PE20461	1	0.8665	HG01505x01
HG01505x01PE20462	1	0.9128	HG01505x01
HG01505x01PE20463	0	0.0	HG01505x01
HG01505x01PE20464	1	0.8896	HG01505x01
HG01505x01PE20465	1	0.9299	HG01505x01
HG01505x01PE20466	1	0.8958	HG01505x01
HG01505x01PE20467	0	0.0721	HG01505x01
HG01505x01PE20468	1	0.7053	HG01505x01
HG01505x01PE20469	1	0.906	HG01505x01
HG01505x01PE20470	1	0.957	HG01505x01
HG01505x01PE20471	1	0.7736	HG01505x01
HG01505x01PE20472	1	0.7223	HG01505x01
HG01505x01PE20473	0	0.0	HG01505x01
HG01505x01PE20474	1	0.904	HG01505x01
HG01505x01PE20475	1	0.8686	HG01505x01
HG01505x01PE20476	1	0.8714	HG01505x01
HG01505x01PE20477	1	0.9096	HG01505x01
HG01505x01PE20478	1	0.9101	HG01505x01
HG01505x01PE20479	1	0.9294	HG01505x01
HG01505x01PE20480	1	0.8864	HG01505x01
HG01505x01PE20481	0	0.3742	HG01505x01
HG01505x01PE20482	0	0.1747	HG01505x01
HG01505x01PE20483	1	0.9054	HG01505x01
HG01505x01PE20484	0	0.0038	HG01505x01
HG01505x01PE20485	1	0.9153	HG01505x01
HG01505x01PE20486	0	0.0	HG01505x01
HG01505x01PE20487	0	0.0441	HG01505x01
HG01505x01PE20488	1	0.6774	HG01505x01
HG01505x01PE20489	0	0.0	HG01505x01
HG01505x01PE20490	1	0.7038	HG01505x01
HG01505x01PE20491	1	0.7372	HG01505x01
HG01505x01PE20492	0	0.1014	HG01505x01
HG01505x01PE20493	1	0.9295	HG01505x01
HG01505x01PE20494	0	0.2711	HG01505x01
HG01505x01PE20495	0	0.0	HG01505x01
HG01505x01PE20496	0	0.0756	HG01505x01
