cell	prediction	probability	sample
GM18939x02PE20401	1	0.8681	GM18939x02
GM18939x02PE20402	1	0.8956	GM18939x02
GM18939x02PE20403	1	0.8838	GM18939x02
GM18939x02PE20404	0	0.3692	GM18939x02
GM18939x02PE20405	0	0.0	GM18939x02
GM18939x02PE20406	1	0.886	GM18939x02
GM18939x02PE20407	0	0.0215	GM18939x02
GM18939x02PE20408	0	0.0	GM18939x02
GM18939x02PE20409	1	0.9325	GM18939x02
GM18939x02PE20410	1	0.8131	GM18939x02
GM18939x02PE20411	1	0.8188	GM18939x02
GM18939x02PE20412	1	0.8128	GM18939x02
GM18939x02PE20413	1	0.8334	GM18939x02
GM18939x02PE20414	0	0.0	GM18939x02
GM18939x02PE20415	1	0.92	GM18939x02
GM18939x02PE20416	1	0.8004	GM18939x02
GM18939x02PE20417	1	0.8878	GM18939x02
GM18939x02PE20418	1	0.7538	GM18939x02
GM18939x02PE20419	0	0.0	GM18939x02
GM18939x02PE20420	1	0.8603	GM18939x02
GM18939x02PE20421	0	0.0789	GM18939x02
GM18939x02PE20422	1	0.7986	GM18939x02
GM18939x02PE20423	0	0.3065	GM18939x02
GM18939x02PE20424	0	0.0	GM18939x02
GM18939x02PE20425	1	0.9295	GM18939x02
GM18939x02PE20426	0	0.0	GM18939x02
GM18939x02PE20427	1	0.825	GM18939x02
GM18939x02PE20428	1	0.8817	GM18939x02
GM18939x02PE20429	1	0.7513	GM18939x02
GM18939x02PE20430	0	0.0393	GM18939x02
GM18939x02PE20431	0	0.0	GM18939x02
GM18939x02PE20432	0	0.0	GM18939x02
GM18939x02PE20433	1	0.897	GM18939x02
GM18939x02PE20434	1	0.8244	GM18939x02
GM18939x02PE20435	1	0.9031	GM18939x02
GM18939x02PE20436	0	0.0957	GM18939x02
GM18939x02PE20437	1	0.7745	GM18939x02
GM18939x02PE20438	1	0.8331	GM18939x02
GM18939x02PE20439	0	0.0	GM18939x02
GM18939x02PE20440	0	0.0196	GM18939x02
GM18939x02PE20441	1	0.8893	GM18939x02
GM18939x02PE20442	1	0.7745	GM18939x02
GM18939x02PE20443	1	0.8664	GM18939x02
GM18939x02PE20444	1	0.5755	GM18939x02
GM18939x02PE20445	1	0.7976	GM18939x02
GM18939x02PE20446	1	0.8243	GM18939x02
GM18939x02PE20447	1	0.8109	GM18939x02
GM18939x02PE20448	0	0.0536	GM18939x02
GM18939x02PE20449	1	0.8217	GM18939x02
GM18939x02PE20450	0	0.4928	GM18939x02
GM18939x02PE20451	1	0.5623	GM18939x02
GM18939x02PE20452	0	0.4394	GM18939x02
GM18939x02PE20453	1	0.8335	GM18939x02
GM18939x02PE20454	1	0.7401	GM18939x02
GM18939x02PE20455	1	0.7961	GM18939x02
GM18939x02PE20456	0	0.0522	GM18939x02
GM18939x02PE20457	1	0.8872	GM18939x02
GM18939x02PE20458	1	0.8809	GM18939x02
GM18939x02PE20459	1	0.756	GM18939x02
GM18939x02PE20460	1	0.7556	GM18939x02
GM18939x02PE20461	1	0.5776	GM18939x02
GM18939x02PE20462	1	0.7168	GM18939x02
GM18939x02PE20463	0	0.173	GM18939x02
GM18939x02PE20464	1	0.5172	GM18939x02
GM18939x02PE20465	1	0.813	GM18939x02
GM18939x02PE20466	1	0.7653	GM18939x02
GM18939x02PE20467	1	0.7216	GM18939x02
GM18939x02PE20468	0	0.0021	GM18939x02
GM18939x02PE20469	1	0.9157	GM18939x02
GM18939x02PE20470	1	0.8648	GM18939x02
GM18939x02PE20471	1	0.6665	GM18939x02
GM18939x02PE20472	0	0.0293	GM18939x02
GM18939x02PE20473	0	0.0	GM18939x02
GM18939x02PE20474	0	0.0	GM18939x02
GM18939x02PE20475	0	0.0	GM18939x02
GM18939x02PE20476	0	0.0055	GM18939x02
GM18939x02PE20477	0	0.023	GM18939x02
GM18939x02PE20478	1	0.7209	GM18939x02
GM18939x02PE20479	0	0.0	GM18939x02
GM18939x02PE20480	0	0.0	GM18939x02
GM18939x02PE20481	0	0.0	GM18939x02
GM18939x02PE20482	0	0.0	GM18939x02
GM18939x02PE20483	1	0.8609	GM18939x02
GM18939x02PE20484	0	0.0	GM18939x02
GM18939x02PE20485	0	0.004	GM18939x02
GM18939x02PE20486	1	0.8965	GM18939x02
GM18939x02PE20487	0	0.078	GM18939x02
GM18939x02PE20488	0	0.122	GM18939x02
GM18939x02PE20489	0	0.0	GM18939x02
GM18939x02PE20490	0	0.0	GM18939x02
GM18939x02PE20491	0	0.0	GM18939x02
GM18939x02PE20492	0	0.0	GM18939x02
GM18939x02PE20493	1	0.7304	GM18939x02
GM18939x02PE20494	0	0.0215	GM18939x02
GM18939x02PE20495	0	0.0564	GM18939x02
GM18939x02PE20496	0	0.0	GM18939x02
