cell	prediction	probability	sample
HG01596x02PE20501	0	0.4466	HG01596x02
HG01596x02PE20502	1	0.7951	HG01596x02
HG01596x02PE20503	1	0.9169	HG01596x02
HG01596x02PE20504	0	0.0018	HG01596x02
HG01596x02PE20505	1	0.8977	HG01596x02
HG01596x02PE20506	1	0.8817	HG01596x02
HG01596x02PE20507	0	0.2658	HG01596x02
HG01596x02PE20508	1	0.9166	HG01596x02
HG01596x02PE20509	1	0.9298	HG01596x02
HG01596x02PE20510	1	0.7721	HG01596x02
HG01596x02PE20511	1	0.9183	HG01596x02
HG01596x02PE20512	1	0.8595	HG01596x02
HG01596x02PE20513	1	0.9028	HG01596x02
HG01596x02PE20514	1	0.8857	HG01596x02
HG01596x02PE20515	0	0.2936	HG01596x02
HG01596x02PE20516	0	0.0	HG01596x02
HG01596x02PE20517	0	0.0066	HG01596x02
HG01596x02PE20518	1	0.8715	HG01596x02
HG01596x02PE20519	1	0.906	HG01596x02
HG01596x02PE20520	1	0.8699	HG01596x02
HG01596x02PE20521	1	0.9072	HG01596x02
HG01596x02PE20522	0	0.048	HG01596x02
HG01596x02PE20523	0	0.0833	HG01596x02
HG01596x02PE20524	0	0.4292	HG01596x02
HG01596x02PE20525	1	0.9036	HG01596x02
HG01596x02PE20526	0	0.0	HG01596x02
HG01596x02PE20527	1	0.9018	HG01596x02
HG01596x02PE20528	1	0.9128	HG01596x02
HG01596x02PE20529	1	0.9222	HG01596x02
HG01596x02PE20530	1	0.8793	HG01596x02
HG01596x02PE20531	1	0.8609	HG01596x02
HG01596x02PE20532	1	0.8289	HG01596x02
HG01596x02PE20533	0	0.0	HG01596x02
HG01596x02PE20534	1	0.6971	HG01596x02
HG01596x02PE20535	1	0.8421	HG01596x02
HG01596x02PE20536	1	0.9349	HG01596x02
HG01596x02PE20537	0	0.3963	HG01596x02
HG01596x02PE20538	1	0.895	HG01596x02
HG01596x02PE20539	1	0.9005	HG01596x02
HG01596x02PE20540	1	0.9236	HG01596x02
HG01596x02PE20541	0	0.0002	HG01596x02
HG01596x02PE20542	0	0.033	HG01596x02
HG01596x02PE20543	0	0.0	HG01596x02
HG01596x02PE20544	1	0.9054	HG01596x02
HG01596x02PE20545	1	0.9022	HG01596x02
HG01596x02PE20546	1	0.9119	HG01596x02
HG01596x02PE20547	0	0.0084	HG01596x02
HG01596x02PE20548	1	0.8513	HG01596x02
HG01596x02PE20549	0	0.0	HG01596x02
HG01596x02PE20550	1	0.9305	HG01596x02
HG01596x02PE20551	1	0.8808	HG01596x02
HG01596x02PE20552	0	0.0	HG01596x02
HG01596x02PE20553	0	0.0428	HG01596x02
HG01596x02PE20554	0	0.0	HG01596x02
HG01596x02PE20555	1	0.9018	HG01596x02
HG01596x02PE20556	1	0.8745	HG01596x02
HG01596x02PE20557	1	0.8803	HG01596x02
HG01596x02PE20558	0	0.0661	HG01596x02
HG01596x02PE20559	1	0.7088	HG01596x02
HG01596x02PE20560	1	0.9006	HG01596x02
HG01596x02PE20561	0	0.0403	HG01596x02
HG01596x02PE20562	1	0.9187	HG01596x02
HG01596x02PE20563	0	0.1572	HG01596x02
HG01596x02PE20564	1	0.8396	HG01596x02
HG01596x02PE20565	1	0.8668	HG01596x02
HG01596x02PE20566	1	0.9109	HG01596x02
HG01596x02PE20567	0	0.0	HG01596x02
HG01596x02PE20568	0	0.0543	HG01596x02
HG01596x02PE20569	1	0.6937	HG01596x02
HG01596x02PE20570	1	0.8516	HG01596x02
HG01596x02PE20571	1	0.8965	HG01596x02
HG01596x02PE20572	1	0.7117	HG01596x02
HG01596x02PE20573	1	0.8203	HG01596x02
HG01596x02PE20574	0	0.2929	HG01596x02
HG01596x02PE20575	1	0.8863	HG01596x02
HG01596x02PE20576	1	0.6994	HG01596x02
HG01596x02PE20577	1	0.8873	HG01596x02
HG01596x02PE20578	1	0.9171	HG01596x02
HG01596x02PE20579	0	0.0204	HG01596x02
HG01596x02PE20580	0	0.4117	HG01596x02
HG01596x02PE20581	0	0.0	HG01596x02
HG01596x02PE20582	1	0.8076	HG01596x02
HG01596x02PE20583	0	0.0	HG01596x02
HG01596x02PE20584	1	0.9137	HG01596x02
HG01596x02PE20585	1	0.5663	HG01596x02
HG01596x02PE20586	1	0.9037	HG01596x02
HG01596x02PE20587	1	0.9182	HG01596x02
HG01596x02PE20588	1	0.9155	HG01596x02
HG01596x02PE20589	1	0.8726	HG01596x02
HG01596x02PE20590	1	0.8549	HG01596x02
HG01596x02PE20591	0	0.0	HG01596x02
HG01596x02PE20592	1	0.909	HG01596x02
HG01596x02PE20593	0	0.4711	HG01596x02
HG01596x02PE20594	1	0.6426	HG01596x02
HG01596x02PE20595	1	0.8929	HG01596x02
HG01596x02PE20596	0	0.0	HG01596x02
