cell	prediction	probability	sample
GM20847Bx02PE20401	1	0.8363	GM20847Bx02
GM20847Bx02PE20402	1	0.8861	GM20847Bx02
GM20847Bx02PE20403	1	0.8465	GM20847Bx02
GM20847Bx02PE20404	1	0.6452	GM20847Bx02
GM20847Bx02PE20405	1	0.8807	GM20847Bx02
GM20847Bx02PE20406	1	0.8193	GM20847Bx02
GM20847Bx02PE20407	1	0.8859	GM20847Bx02
GM20847Bx02PE20408	1	0.8481	GM20847Bx02
GM20847Bx02PE20409	0	0.0	GM20847Bx02
GM20847Bx02PE20410	0	0.09	GM20847Bx02
GM20847Bx02PE20411	1	0.8831	GM20847Bx02
GM20847Bx02PE20412	1	0.5308	GM20847Bx02
GM20847Bx02PE20413	1	0.8952	GM20847Bx02
GM20847Bx02PE20414	0	0.0	GM20847Bx02
GM20847Bx02PE20415	0	0.0	GM20847Bx02
GM20847Bx02PE20416	1	0.7232	GM20847Bx02
GM20847Bx02PE20417	0	0.0	GM20847Bx02
GM20847Bx02PE20418	1	0.7807	GM20847Bx02
GM20847Bx02PE20419	1	0.8045	GM20847Bx02
GM20847Bx02PE20420	0	0.0816	GM20847Bx02
GM20847Bx02PE20421	0	0.0	GM20847Bx02
GM20847Bx02PE20422	1	0.8557	GM20847Bx02
GM20847Bx02PE20423	1	0.8294	GM20847Bx02
GM20847Bx02PE20424	1	0.7298	GM20847Bx02
GM20847Bx02PE20425	1	0.9387	GM20847Bx02
GM20847Bx02PE20426	1	0.844	GM20847Bx02
GM20847Bx02PE20427	1	0.913	GM20847Bx02
GM20847Bx02PE20428	0	0.0	GM20847Bx02
GM20847Bx02PE20429	0	0.1674	GM20847Bx02
GM20847Bx02PE20430	1	0.5327	GM20847Bx02
GM20847Bx02PE20431	0	0.0	GM20847Bx02
GM20847Bx02PE20432	1	0.8964	GM20847Bx02
GM20847Bx02PE20433	1	0.7949	GM20847Bx02
GM20847Bx02PE20434	1	0.9054	GM20847Bx02
GM20847Bx02PE20435	0	0.0	GM20847Bx02
GM20847Bx02PE20436	1	0.8676	GM20847Bx02
GM20847Bx02PE20437	1	0.8561	GM20847Bx02
GM20847Bx02PE20438	1	0.8232	GM20847Bx02
GM20847Bx02PE20439	1	0.8463	GM20847Bx02
GM20847Bx02PE20440	1	0.8879	GM20847Bx02
GM20847Bx02PE20441	0	0.183	GM20847Bx02
GM20847Bx02PE20442	1	0.8802	GM20847Bx02
GM20847Bx02PE20443	1	0.8738	GM20847Bx02
GM20847Bx02PE20444	0	0.0	GM20847Bx02
GM20847Bx02PE20445	1	0.5	GM20847Bx02
GM20847Bx02PE20446	1	0.8967	GM20847Bx02
GM20847Bx02PE20447	1	0.8459	GM20847Bx02
GM20847Bx02PE20448	0	0.3023	GM20847Bx02
GM20847Bx02PE20449	1	0.8526	GM20847Bx02
GM20847Bx02PE20450	1	0.6729	GM20847Bx02
GM20847Bx02PE20451	0	0.1139	GM20847Bx02
GM20847Bx02PE20452	1	0.8334	GM20847Bx02
GM20847Bx02PE20453	0	0.1251	GM20847Bx02
GM20847Bx02PE20454	1	0.786	GM20847Bx02
GM20847Bx02PE20455	1	0.6669	GM20847Bx02
GM20847Bx02PE20456	1	0.6952	GM20847Bx02
GM20847Bx02PE20457	1	0.8975	GM20847Bx02
GM20847Bx02PE20458	1	0.9595	GM20847Bx02
GM20847Bx02PE20459	1	0.8448	GM20847Bx02
GM20847Bx02PE20460	1	0.7725	GM20847Bx02
GM20847Bx02PE20461	1	0.8453	GM20847Bx02
GM20847Bx02PE20462	1	0.8591	GM20847Bx02
GM20847Bx02PE20463	0	0.0	GM20847Bx02
GM20847Bx02PE20464	0	0.1248	GM20847Bx02
GM20847Bx02PE20465	0	0.0001	GM20847Bx02
GM20847Bx02PE20466	0	0.0	GM20847Bx02
GM20847Bx02PE20467	1	0.8393	GM20847Bx02
GM20847Bx02PE20468	1	0.9009	GM20847Bx02
GM20847Bx02PE20469	1	0.881	GM20847Bx02
GM20847Bx02PE20470	1	0.8768	GM20847Bx02
GM20847Bx02PE20471	1	0.8885	GM20847Bx02
GM20847Bx02PE20472	1	0.88	GM20847Bx02
GM20847Bx02PE20473	0	0.4753	GM20847Bx02
GM20847Bx02PE20474	0	0.1161	GM20847Bx02
GM20847Bx02PE20475	1	0.8508	GM20847Bx02
GM20847Bx02PE20476	1	0.9	GM20847Bx02
GM20847Bx02PE20477	1	0.8644	GM20847Bx02
GM20847Bx02PE20478	1	0.8263	GM20847Bx02
GM20847Bx02PE20479	1	0.8817	GM20847Bx02
GM20847Bx02PE20480	1	0.8828	GM20847Bx02
GM20847Bx02PE20481	1	0.6455	GM20847Bx02
GM20847Bx02PE20482	0	0.4582	GM20847Bx02
GM20847Bx02PE20483	1	0.8104	GM20847Bx02
GM20847Bx02PE20484	1	0.8782	GM20847Bx02
GM20847Bx02PE20485	1	0.8788	GM20847Bx02
GM20847Bx02PE20486	1	0.8914	GM20847Bx02
GM20847Bx02PE20487	1	0.9555	GM20847Bx02
GM20847Bx02PE20488	1	0.5126	GM20847Bx02
GM20847Bx02PE20489	1	0.8784	GM20847Bx02
GM20847Bx02PE20490	1	0.6016	GM20847Bx02
GM20847Bx02PE20491	1	0.9166	GM20847Bx02
GM20847Bx02PE20492	1	0.8349	GM20847Bx02
GM20847Bx02PE20493	0	0.0	GM20847Bx02
GM20847Bx02PE20494	0	0.0197	GM20847Bx02
GM20847Bx02PE20495	0	0.4714	GM20847Bx02
GM20847Bx02PE20496	0	0.0002	GM20847Bx02
