cell	prediction	probability	sample
HG002x02PE20401	0	0.257	HG002x02
HG002x02PE20402	0	0.0	HG002x02
HG002x02PE20403	1	0.8408	HG002x02
HG002x02PE20404	0	0.0	HG002x02
HG002x02PE20405	0	0.4846	HG002x02
HG002x02PE20406	0	0.011	HG002x02
HG002x02PE20407	1	0.9038	HG002x02
HG002x02PE20408	0	0.0579	HG002x02
HG002x02PE20409	0	0.005	HG002x02
HG002x02PE20410	0	0.0	HG002x02
HG002x02PE20411	0	0.0	HG002x02
HG002x02PE20412	0	0.0	HG002x02
HG002x02PE20413	0	0.0008	HG002x02
HG002x02PE20414	1	0.9405	HG002x02
HG002x02PE20415	0	0.0	HG002x02
HG002x02PE20416	1	0.9132	HG002x02
HG002x02PE20417	1	0.9249	HG002x02
HG002x02PE20418	0	0.0001	HG002x02
HG002x02PE20419	1	0.8413	HG002x02
HG002x02PE20420	0	0.0011	HG002x02
HG002x02PE20421	1	0.8848	HG002x02
HG002x02PE20422	1	0.9346	HG002x02
HG002x02PE20423	0	0.0	HG002x02
HG002x02PE20424	1	0.8211	HG002x02
HG002x02PE20425	1	0.5495	HG002x02
HG002x02PE20426	0	0.0299	HG002x02
HG002x02PE20427	0	0.0	HG002x02
HG002x02PE20428	1	0.8833	HG002x02
HG002x02PE20429	1	0.7513	HG002x02
HG002x02PE20430	1	0.8893	HG002x02
HG002x02PE20431	1	0.9618	HG002x02
HG002x02PE20432	1	0.8098	HG002x02
HG002x02PE20433	0	0.0	HG002x02
HG002x02PE20434	1	0.803	HG002x02
HG002x02PE20435	1	0.7877	HG002x02
HG002x02PE20436	0	0.1734	HG002x02
HG002x02PE20437	0	0.0	HG002x02
HG002x02PE20438	0	0.0	HG002x02
HG002x02PE20439	1	0.9279	HG002x02
HG002x02PE20440	1	0.9109	HG002x02
HG002x02PE20441	0	0.005	HG002x02
HG002x02PE20442	0	0.0001	HG002x02
HG002x02PE20443	1	0.9659	HG002x02
HG002x02PE20444	0	0.0598	HG002x02
HG002x02PE20445	0	0.4822	HG002x02
HG002x02PE20446	0	0.0	HG002x02
HG002x02PE20447	0	0.0252	HG002x02
HG002x02PE20448	0	0.0258	HG002x02
HG002x02PE20449	0	0.0032	HG002x02
HG002x02PE20450	1	0.9092	HG002x02
HG002x02PE20451	0	0.2701	HG002x02
HG002x02PE20452	1	0.9192	HG002x02
HG002x02PE20453	0	0.1934	HG002x02
HG002x02PE20454	1	0.8001	HG002x02
HG002x02PE20455	0	0.0	HG002x02
HG002x02PE20456	1	0.9054	HG002x02
HG002x02PE20457	0	0.0006	HG002x02
HG002x02PE20458	1	0.9133	HG002x02
HG002x02PE20459	0	0.0001	HG002x02
HG002x02PE20460	0	0.0002	HG002x02
HG002x02PE20461	0	0.0	HG002x02
HG002x02PE20462	0	0.162	HG002x02
HG002x02PE20463	0	0.0	HG002x02
HG002x02PE20464	1	0.8792	HG002x02
HG002x02PE20465	0	0.1367	HG002x02
HG002x02PE20466	1	0.7986	HG002x02
HG002x02PE20467	1	0.9373	HG002x02
HG002x02PE20468	1	0.522	HG002x02
HG002x02PE20469	1	0.8663	HG002x02
HG002x02PE20470	0	0.0	HG002x02
HG002x02PE20471	0	0.056	HG002x02
HG002x02PE20472	0	0.0	HG002x02
HG002x02PE20473	1	0.7977	HG002x02
HG002x02PE20474	0	0.0	HG002x02
HG002x02PE20475	0	0.0	HG002x02
HG002x02PE20476	0	0.0	HG002x02
HG002x02PE20477	0	0.0203	HG002x02
HG002x02PE20478	0	0.0	HG002x02
HG002x02PE20479	1	0.8978	HG002x02
HG002x02PE20480	1	0.606	HG002x02
HG002x02PE20481	0	0.0008	HG002x02
HG002x02PE20482	1	0.8992	HG002x02
HG002x02PE20483	0	0.1496	HG002x02
HG002x02PE20484	1	0.8807	HG002x02
HG002x02PE20485	1	0.9119	HG002x02
HG002x02PE20486	1	0.7392	HG002x02
HG002x02PE20487	1	0.8685	HG002x02
HG002x02PE20488	1	0.9092	HG002x02
HG002x02PE20489	0	0.0	HG002x02
HG002x02PE20490	1	0.8406	HG002x02
HG002x02PE20491	1	0.8686	HG002x02
HG002x02PE20492	1	0.8989	HG002x02
HG002x02PE20493	0	0.3616	HG002x02
HG002x02PE20494	1	0.939	HG002x02
HG002x02PE20495	0	0.3927	HG002x02
HG002x02PE20496	0	0.0003	HG002x02
